"","count","condition","level"
"DOX_0.0125_1",615.981876174746,"1","0.0125"
"DOX_0.0125_2",653.565910284705,"1","0.0125"
"DOX_0.0125_3",597.786105252446,"1","0.0125"
"DOX_0.0187_1",147.77889984562,"1","0.0187"
"DOX_0.0187_2",181.778312847232,"1","0.0187"
"DOX_0.0187_3",166.101634483257,"1","0.0187"
"DOX_0.021_1",126.511550453047,"1","0.021"
"DOX_0.021_2",138.533555329733,"1","0.021"
"DOX_0.021_3",143.155412540793,"1","0.021"
"DOX_0.025_1",99.9142542249018,"1","0.025"
"DOX_0.025_2",79.7930531004412,"1","0.025"
"DOX_0.025_3",81.6770241934895,"1","0.025"
"DOX_0.075_1",39.9268776425211,"1","0.075"
"DOX_0.075_2",46.8584271736281,"1","0.075"
"DOX_0.075_3",60.7288127076753,"1","0.075"
"NT_0_1",636.542094462613,"0","0"
"NT_0_2",681.179452519404,"0","0"
"NT_0_3",669.70027105816,"0","0"
