UniqueCount	AmbigCount
0	19
0	1
5	1415
0	0
0	6
0	1
0	0
0	2
0	2
0	0
0	0
0	0
0	0
2	83
0	51
0	5
0	2
0	16
0	2
5	6
10	297
5	21
0	35
89	57
0	53
9	374
0	1
0	0
9	35
0	26
29	55
0	1
44	1817
5	307
0	327
1	279
0	261
0	226
76	47
0	0
0	77
0	3
0	3
0	3
0	5
0	5
0	2
0	13
0	0
0	1
5	33
7	31
0	12
0	14
0	4
126	427
1	35
0	450
0	251
0	273
2	324
0	388
13	296
0	49
0	291
0	339
8	34
0	57
0	15
3	68
5	81
0	53
7	115
2	10
0	3
0	14
0	0
0	0
1	11
0	11
0	8
0	15
0	11
1	84
0	13
0	0
32	6517
3151	42657
392	55114
41	0
16	7919
6	373
13770	23615
20	9009
0	0
0	2
0	66
0	12
0	14
0	4
364	2076
0	1
0	0
0	145
0	28
0	28
0	9
0	10
0	10
0	9
0	5
0	4
0	4
0	10
0	10
0	6
0	5
0	10
0	10
0	9
0	6
0	6
8	11
0	4
0	0
0	0
0	4
0	0
0	0
0	10
0	9
0	9
0	8
0	8
0	3
0	10
3	18
4	17
0	14
2	17
0	17
3	1
0	7
32	7
1	381
0	419
320	1079
38	195
1	1226
19	58
0	762
0	1115
28	50
0	1106
0	756
0	478
0	361
0	185
0	397
1	52
0	27
0	487
0	481
0	425
0	93
0	51
0	117
0	278
1	482
0	696
0	783
0	394
0	57
0	458
0	408
0	57
0	23
0	121
0	48
0	351
2	50
1	1
0	1
1	26
0	17
0	26
0	0
0	0
33	0
607	28
8	28
300	135
0	118
0	20
0	1377
5	1370
1	118
4	1223
0	712
0	677
2	598
0	757
0	795
1	1078
26	638
0	6
2	161
9	31
5	47
685	8891
15	3694
148	8195
1	4
22	2762
73	233
598	254
94	74
51	179
53	23
0	1
0	0
0	1
0	0
0	0
0	2
0	2
0	0
0	2
21	0
14	179
41	148
51	145
1	79
0	9
0	8
0	24
0	0
0	8
1	4402
0	4293
0	4048
0	4157
0	76
2	190
20	146
0	35
9	94
139	1289
1	166
0	15
0	15
0	12
1	16
0	15
2	13
0	13
0	0
2	1
0	11
0	7
0	0
4	600
0	569
0	640
0	616
98	485
0	573
16	616
0	125
6	445
6	262
1	180
0	190
3	98
16	64
1	65
0	57
0	29
0	22
3	9
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
23	3701
3	4113
0	3701
1	3351
128	1992
10	1684
1	1414
0	671
2317	5
0	1
0	1
0	3
0	0
0	2
4	0
2	2434
5	2622
0	2454
3	1582
7	1567
0	1464
1	1414
5	354
0	1323
2	1177
1	418
0	473
0	622
0	419
8	428
2	153
0	162
4	201
8	247
79	29
1	0
7	0
0	76
0	53
14	70
0	70
0	2
1	71
0	1
3	10
123	2619
29	2735
51	1944
0	1602
19	72
0	0
0	265
3	420
32	89
170	489
1	256
130	185
2	151
7	13
42	585
17	236
3	89
2	364
11	320
2	842
0	1525
0	1507
0	1068
0	252
0	1283
0	1550
0	1079
137	989
9	688
1	1013
0	1522
0	1092
0	925
0	1241
0	1388
1	430
1	263
6	183
0	1163
0	271
0	0
1	452
0	384
5	259
0	325
0	606
0	50
7	182
0	651
0	395
0	380
0	550
0	468
0	469
0	55
0	16
0	267
34	0
0	491
3	398
34	323
0	293
0	284
0	173
0	137
0	118
0	167
0	41
0	48
0	19
1	219
582	315
1	126
22	0
2	2318
56	2347
6	512
0	574
10	278
2	201
0	0
3	254
0	83
0	125
0	131
0	95
0	131
1	45
0	32
3	42
0	5
0	1
19	2364
16	2237
154	2221
58	2316
59	188
21	141
0	0
0	2508
36	3221
8	2684
15	1629
3	4515
7	2936
6	3677
0	3727
0	1707
0	2302
0	801
1	731
2	630
5	693
0	1074
27	249
0	432
11	114
4	219
3	688
0	715
1	680
0	736
0	686
0	732
0	719
0	719
0	640
0	714
0	45
0	714
0	628
0	718
0	32
0	691
0	695
0	696
0	293
285	2741
1	1642
37	2130
17	393
19	1138
0	15
5	411
208	42
0	7
0	7
2	7
0	6
1	0
0	0
3	0
0	1
1	1
0	1
0	0
0	39
0	205
34	243
0	10
38	220
0	3
2	13
28	1803
0	1209
79	1534
8	268
148	955
69	614
4	17
0	7
0	17
2	2658
34	2150
0	2477
0	2296
0	2423
3	83
1	350
1	685
25	126
0	126
13	2
311	3298
6	2360
0	1134
786	469
2	2
10	2
0	0
589	1
18	0
196	0
22	624
4	605
0	645
0	656
0	530
2	621
0	634
49	60
0	53
1	649
0	60
0	486
0	68
0	10
0	81
0	655
4	462
0	56
0	573
1	528
3	24
7	19
0	507
5	113
4	30
0	47
2	89
0	125
0	127
2	103
0	48
2	48
0	4
0	13
7	11
2	13
0	6
0	3
0	6
0	5
0	2
2	1
99	3584
0	3292
0	3112
0	3124
0	2946
0	2845
0	2845
0	2845
0	686
12	0
11	836
19	8250
0	8140
17	2903
33	787
4	0
0	1
0	9
95	2531
0	2158
258	1947
0	584
0	1848
0	2048
0	1834
0	2185
0	2259
0	2110
0	2043
24	125
1	246
0	101
0	20
0	461
0	47
0	99
0	559
0	457
8	311
1	40
0	56
9	54
0	0
9	0
29	829
60	110
1	735
0	0
0	561
0	1
10	2477
0	2369
2	2135
1	1118
6	43
5	473
0	263
0	180
5	436
0	250
0	158
2	346
12	535
2	437
4	441
4	293
0	0
91	36088
2	32388
73	37284
20	4602
1	9819
17	5329
19	7515
14	4583
2	309
0	1174
1	2
0	1
0	1
2	1
0	3
0	3
0	3
0	0
0	61
0	52
0	7
1	9
5	10
0	0
0	2
0	0
0	2
0	0
0	1
7	2
0	2
0	1
0	1
0	1
6	1
1	1
0	112
2	213
0	113
0	144
0	196
10	145
0	39
0	180
5	170
0	119
0	0
2	192
1	87
0	56
1	104
0	65
0	59
0	31
1	97
0	0
0	0
21	1314
3	150
5	30
0	16
0	16
0	25
46	1250
0	110
1	1145
0	195
0	268
0	205
0	263
0	205
0	289
0	293
0	224
0	142
0	100
2	218
0	49
1	0
0	1113
0	246
2	864
0	793
0	77
105	3
17	3
7	622
3	619
22	1042
0	1166
0	630
254	657
0	527
0	860
0	761
3	761
41	743
3	353
0	681
0	0
0	0
0	0
3966	197
0	4
0	50
19	143
2	35
23	35
1	68
0	0
1	55
53	3
0	3
6	64
0	3
4	0
27	24
4	8
39	41
0	45
41	16
2	14
0	10
15	3954
0	685
0	4778
0	1529
9	105
10	3006
26	1339
127	2128
10	820
2	763
0	792
0	670
0	682
5	175
0	40
0	19
1	19
0	22
0	31
92	1503
13	1423
0	1423
0	1475
6	1202
1	0
2	0
9	740
32	629
5	1089
0	923
0	656
2	194
4	92
3	25
8	31
0	99
0	345
1	112
7	33
1	15
0	0
0	16
0	16
0	0
0	0
1	0
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	2
0	0
0	2
0	1
0	1
0	2
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	299
0	313
2	1544
0	1566
0	1615
0	1552
0	453
0	1589
0	395
0	111
2	82
1	132
0	1528
1	67
7	1455
0	4
0	32
0	23
0	25
0	1
0	2
1	1
0	3
0	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
32	83
0	83
0	76
0	19
3	9
0	19
4	58
1	0
67	107
0	81
0	11
0	75
0	2
0	13
0	4
0	0
0	7
0	6
0	7
0	5
0	7
0	4
0	1
251	1744
0	1739
167	1471
67	1474
207	165
18	822
0	292
0	197
8	58
1	582
0	478
5	127
2	1359
0	1214
0	537
0	1239
0	1216
1	0
0	374
0	395
0	434
0	474
0	1292
10	281
1	25
0	463
0	0
0	220
0	365
0	90
0	1011
0	845
0	1117
21	2753
0	648
1	50
0	1298
0	49
0	0
0	1402
7	1535
4	2164
2	2059
0	758
0	1080
0	1026
0	919
0	1394
5	1823
0	980
1	182
0	331
0	130
0	1223
0	1085
10	322
0	934
0	72
1	0
0	0
0	0
2	35
3	21
0	33
1	5
2878	818
3	812
3	277
0	0
5	0
0	1443
0	1761
4	1728
0	1718
1	1720
2	1557
0	1561
0	1637
4	1624
