UniqueCount	AmbigCount
0	35
0	2
0	1431
0	0
0	5
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	64
0	39
0	5
0	2
0	23
0	5
2	3
2	328
5	45
0	12
95	97
0	69
1	408
0	0
0	0
1	49
0	5
32	68
0	2
32	1907
3	316
0	345
1	297
0	308
0	259
46	56
1	0
0	90
0	0
0	0
0	0
0	10
0	10
0	3
0	12
0	0
0	0
4	32
7	32
0	14
0	11
0	3
122	506
3	17
0	491
0	289
1	274
1	299
0	369
19	294
1	59
0	260
0	336
13	15
0	33
8	18
7	68
2	71
0	50
16	105
7	10
0	3
0	13
0	0
0	0
2	9
2	9
0	1
0	6
0	6
2	105
0	15
0	0
13	5289
2239	32971
471	51687
39	0
20	6447
1	293
12482	18000
13	4840
0	0
0	5
0	67
0	14
0	14
0	3
291	2290
0	0
0	0
0	108
0	32
1	32
0	15
1	10
0	11
0	8
0	8
0	12
0	9
0	9
0	8
0	15
0	7
0	10
0	10
0	8
0	9
0	8
3	4
0	3
0	6
0	6
0	9
0	0
4	0
0	2
0	6
0	6
0	4
0	4
0	1
0	4
0	23
6	13
0	12
3	12
0	13
1	0
0	13
19	15
0	358
0	391
210	882
33	227
2	1075
28	55
0	683
0	916
36	45
0	904
0	680
0	441
0	350
0	167
0	376
0	53
0	21
0	459
2	453
0	392
0	91
1	45
0	114
0	283
0	444
0	617
0	703
0	372
0	57
0	433
0	383
1	57
0	27
0	130
0	43
0	339
0	53
0	0
0	0
0	16
0	9
0	14
1	3
1	0
22	0
569	37
2	35
222	126
1	97
0	31
0	1076
0	1066
0	89
9	949
0	602
0	584
2	531
0	646
0	669
0	859
15	537
0	5
2	174
5	43
4	63
662	8776
28	3456
150	7926
1	4
18	2832
46	306
570	231
71	73
41	158
70	17
0	0
0	0
0	0
0	0
0	0
0	5
0	5
0	5
0	1
45	0
16	212
33	191
38	147
0	93
0	8
0	5
0	26
0	0
0	8
0	4966
0	4854
0	4507
0	4619
0	119
10	223
16	160
0	48
3	138
116	1384
1	142
0	14
0	21
0	13
2	20
0	22
1	14
0	15
0	0
0	0
0	10
0	11
2	1
6	602
0	543
1	626
0	597
104	466
0	575
17	605
0	119
11	437
6	254
0	172
0	178
1	90
29	71
1	35
1	69
0	48
2	31
5	19
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
13	3720
3	4055
0	3720
2	3334
88	1889
19	1599
0	1364
0	687
2385	8
0	0
0	0
2	0
0	0
0	0
1	0
7	2418
3	2647
0	2444
4	1567
0	1581
1	1477
0	1382
6	380
0	1266
6	1097
0	325
0	458
3	565
0	410
3	452
1	104
0	143
6	194
17	254
77	24
4	0
10	0
2	82
0	63
17	81
0	81
0	5
0	75
0	0
3	23
124	2453
35	2624
53	1843
0	1495
15	68
0	0
1	245
5	347
6	82
136	437
0	253
139	151
0	165
0	12
53	558
10	208
3	107
0	323
13	312
0	846
0	1521
0	1510
0	1042
0	287
0	1329
0	1576
0	1061
133	965
12	663
1	988
0	1517
1	1095
0	926
0	1224
0	1360
0	358
0	205
1	180
0	1150
0	231
0	0
0	413
0	377
2	256
0	295
0	601
1	41
9	172
0	661
0	441
0	419
0	545
0	486
0	486
0	52
5	25
0	311
27	0
0	510
1	460
57	381
3	336
0	282
0	206
0	163
0	153
0	136
0	46
0	49
9	11
8	231
581	343
6	139
25	0
1	2377
50	2390
3	412
0	505
16	299
1	188
0	0
6	285
0	105
2	151
0	154
0	107
1	154
0	60
0	48
2	55
0	2
1	4
9	2600
15	2498
171	2486
65	2592
62	252
8	122
0	0
0	2331
23	3049
8	2445
24	1578
2	4249
1	2720
6	3470
0	3390
0	1546
5	2118
0	733
1	614
0	528
0	715
0	1096
44	271
6	475
15	127
2	269
1	742
0	810
1	744
0	816
0	764
0	813
0	811
0	811
0	693
0	808
0	49
0	808
0	694
0	811
0	41
0	752
0	789
0	788
0	340
288	2715
2	1632
60	2145
25	337
21	1102
0	7
3	416
229	32
0	7
0	9
1	9
0	5
0	4
0	0
0	0
0	1
0	0
0	0
0	1
0	47
1	222
37	265
0	7
20	293
0	11
4	7
42	1873
0	1312
98	1667
5	303
147	1016
76	720
1	9
0	8
0	6
0	2822
29	2316
0	2706
0	2423
1	2598
