UniqueCount	AmbigCount
0	16
0	0
9	1666
0	0
0	7
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	81
0	47
0	2
0	0
0	15
0	6
4	5
2	323
12	32
0	29
106	74
0	73
10	441
0	0
0	0
3	53
0	7
22	65
0	0
51	2098
4	317
0	332
1	311
0	308
0	277
64	53
4	0
0	106
0	0
0	0
0	0
0	7
0	9
0	3
0	13
0	0
0	1
0	28
9	35
0	12
0	20
0	6
126	488
0	22
0	511
0	295
1	309
1	308
0	359
12	286
0	47
1	289
0	324
6	31
0	51
1	14
13	74
4	81
0	30
9	111
0	17
0	3
0	10
0	0
0	0
1	17
6	17
0	6
0	17
0	17
0	95
0	18
0	0
30	6667
3013	39286
468	58307
35	0
34	7612
1	337
14975	22118
18	5887
0	0
0	3
0	56
0	13
0	20
0	6
407	2399
0	0
0	0
0	115
0	46
0	46
0	21
0	11
0	11
0	8
0	11
0	9
1	8
0	11
0	11
0	12
0	11
0	9
0	11
0	8
0	10
0	6
6	5
0	1
0	3
0	3
0	4
0	0
0	0
0	3
0	1
0	1
0	1
0	1
0	1
0	3
4	7
7	14
0	15
9	15
0	12
1	0
1	24
25	5
0	390
0	424
291	1088
32	204
0	1264
22	100
0	799
0	1147
18	78
0	1138
0	794
0	509
0	375
0	216
1	458
0	85
2	37
0	518
0	514
1	429
0	128
0	55
0	143
1	306
0	526
0	728
0	838
0	420
0	61
0	480
0	426
1	61
0	34
0	112
0	51
0	389
0	60
1	0
0	0
1	16
0	9
0	15
0	0
0	0
49	0
644	28
12	28
375	181
0	144
0	42
0	1568
0	1563
0	106
9	1397
0	871
0	799
1	760
0	906
0	955
0	1260
21	751
2	13
7	206
15	37
8	91
769	10062
16	3982
171	9135
0	11
31	3083
64	319
722	326
117	107
55	213
90	26
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	1
0	2
27	0
13	253
38	229
46	188
4	140
1	4
4	2
0	51
0	0
0	4
0	5230
0	5067
0	4757
0	4920
0	96
7	255
26	199
1	48
5	128
190	1474
0	159
1	8
0	11
0	8
0	12
0	12
1	8
0	9
0	0
0	0
0	7
0	7
0	0
7	695
2	661
5	748
0	692
142	555
0	655
7	698
0	134
11	514
2	307
0	192
0	198
0	106
21	79
2	61
0	76
0	51
5	33
3	19
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
36	4496
2	4906
0	4496
0	4051
110	2345
4	1954
6	1599
0	875
2615	7
0	3
0	3
2	3
1	1
0	1
8	0
9	2906
8	3159
0	2913
2	1853
5	1859
0	1738
0	1635
6	457
0	1497
4	1262
2	334
1	546
0	703
1	519
1	536
1	134
0	158
4	212
13	288
77	41
5	3
13	3
0	95
0	79
16	90
0	91
0	4
0	88
0	2
1	29
191	3335
30	3498
62	2447
0	1946
11	102
0	0
2	257
11	444
18	79
222	611
1	363
173	224
0	175
8	21
47	715
11	294
13	138
0	456
10	393
2	1029
0	1782
0	1775
0	1216
1	357
0	1488
0	1832
0	1238
145	1113
21	846
2	1167
0	1777
0	1264
0	1077
0	1473
0	1613
0	437
2	254
4	227
1	1348
0	281
0	0
0	472
0	426
2	333
0	355
0	743
1	59
11	184
0	789
0	461
0	453
0	638
0	570
0	572
3	44
1	31
0	363
17	0
0	627
0	534
69	442
0	439
0	375
1	262
2	200
0	180
0	221
0	44
1	39
5	11
9	310
710	442
3	162
25	1
4	2763
52	2774
8	532
0	630
12	307
4	191
0	0
15	315
0	98
0	145
0	148
1	102
6	148
0	38
0	31
3	58
1	1
1	1
20	2875
19	2708
187	2698
84	2829
65	289
16	186
0	0
0	2870
43	3734
11	2993
11	1889
5	5213
0	3289
16	4269
0	4152
0	1836
6	2628
1	908
7	806
0	703
0	857
0	1388
44	329
2	578
14	156
1	351
0	806
0	863
1	810
0	869
1	818
0	863
0	862
0	862
0	757
0	856
0	55
0	856
0	760
0	862
0	54
0	798
0	843
0	839
0	360
366	2991
3	1754
61	2344
43	414
30	1269
0	12
4	469
272	25
0	6
0	7
0	7
0	1
1	1
0	0
1	1
0	0
1	2
0	0
0	2
0	43
0	203
52	243
0	5
40	273
4	4
6	8
31	2149
0	1498
113	1852
8	320
139	1174
85	851
0	21
0	6
0	20
0	3123
30	2535
0	2949
0	2657
3	2867
0	91
0	431
0	730
31	122
0	122
16	9
365	3923
2	2930
0	1214
868	501
3	9
18	10
0	0
770	3
37	0
273	0
16	697
2	684
0	703
0	711
0	590
0	676
0	696
43	77
1	56
11	698
2	66
0	553
1	95
0	32
0	60
0	698
0	489
0	42
0	630
3	579
9	22
10	23
0	576
3	107
7	34
0	59
0	120
0	142
0	134
1	125
0	67
0	65
0	0
0	12
3	9
1	12
0	9
0	5
0	6
0	4
1	7
1	6
123	3998
0	3685
0	3360
0	3372
0	3207
0	3119
