UniqueCount	AmbigCount
0	33
0	13
5	1541
0	0
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	74
0	43
0	4
0	3
0	15
0	5
7	8
0	323
5	40
0	28
121	84
0	71
14	416
0	0
0	0
0	58
1	8
27	72
0	13
27	1970
11	314
0	338
3	287
0	295
0	252
54	60
2	0
0	92
0	0
0	0
0	0
0	5
0	5
2	0
0	12
0	0
0	0
4	32
4	30
0	13
0	15
0	8
144	503
3	22
0	545
0	285
0	312
2	366
0	378
30	308
0	56
1	286
0	344
12	33
0	55
7	18
3	82
6	96
0	48
6	115
3	3
0	0
0	13
0	0
0	0
4	1
3	2
1	1
0	3
0	1
0	89
0	12
0	0
33	5516
2648	37498
536	56847
30	0
17	5941
0	216
14960	20193
12	5046
0	0
0	7
0	53
0	13
0	15
0	9
469	2399
0	0
1	0
0	91
0	78
0	78
0	11
0	11
0	9
0	10
0	7
0	14
2	9
0	7
0	7
0	14
0	7
0	8
0	9
0	8
0	15
0	12
3	9
0	2
0	5
0	5
0	9
0	0
1	0
0	3
0	5
0	5
0	3
0	4
0	2
0	6
5	28
4	5
0	8
1	11
0	4
2	0
0	11
22	7
0	371
1	420
257	963
30	235
2	1163
18	65
0	755
0	1002
21	52
0	995
0	746
0	477
0	332
0	178
0	409
0	54
3	17
0	481
0	483
0	423
0	93
0	65
0	141
1	263
0	480
0	659
0	783
0	370
1	73
0	466
0	398
0	71
0	32
0	158
0	67
0	366
1	65
0	6
0	6
1	24
0	11
0	22
0	0
0	0
62	0
595	45
19	43
283	98
2	83
0	17
0	1191
0	1184
1	106
5	1038
0	627
0	595
1	555
0	667
0	708
0	917
15	556
1	16
0	186
8	38
10	66
746	9948
32	3739
202	9044
0	1
33	3173
46	282
697	291
115	84
39	205
85	18
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	2
0	2
23	0
32	240
55	211
49	178
5	124
0	13
2	8
1	18
0	0
1	8
0	6005
0	5823
0	5475
0	5657
0	125
10	256
16	176
0	57
4	189
177	1629
0	156
0	28
0	30
0	19
2	23
0	30
1	19
0	20
0	0
0	2
0	14
0	7
0	0
2	650
4	601
1	693
0	654
135	519
1	628
24	661
0	135
6	496
3	298
