UniqueCount	AmbigCount
0	2
0	0
0	930
1	0
0	3
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
18	44
0	3
0	1
0	2
0	1
0	26
1	1
0	45
3	0
0	13
171	24
0	26
3	179
21	56
1	6
44	105
0	0
0	0
0	0
18	853
1	106
0	132
3	111
0	116
0	83
122	47
1	0
0	25
0	1
0	1
0	6
0	10
0	8
3	0
0	6
12	16
16	21
0	7
0	7
17	5
0	164
0	58
2	74
2	101
0	88
2	57
1	12
0	79
0	67
15	16
0	29
3	12
2	13
2	16
0	94
11	22
0	0
0	3
0	1
22	72
4	19
0	2
0	8
0	30
1	30
0	14
0	29
0	28
0	56
0	11
0	0
0	2
0	24
0	8
0	7
0	1
0	1
12	2403
1303	47201
365	35382
10	0
7	2764
2	91
10166	10733
13	4186
0	0
0	1
243	805
0	82
0	22
0	22
0	0
0	0
0	10
0	3
0	3
0	8
0	3
0	7
0	7
0	3
0	3
0	7
0	3
0	3
0	3
0	7
0	6
0	8
5	0
0	0
0	0
0	3
0	0
2	0
0	1
0	1
0	7
0	0
0	0
0	0
0	1
3	11
1	10
4	10
0	5
5	12
0	12
0	0
0	2
0	203
0	225
128	613
29	51
0	599
13	25
0	408
0	608
10	19
0	606
0	404
0	247
0	192
0	66
0	174
0	19
1	10
0	246
0	244
0	227
0	31
0	13
0	54
1	118
0	248
0	353
0	395
0	190
0	15
0	239
0	202
0	15
0	15
0	25
0	13
0	157
1	27
16	1
0	2
0	2
2	23
0	5
0	22
0	0
0	0
9	0
81	4
0	4
145	57
0	41
0	16
0	235
0	234
0	26
1	210
0	111
0	117
0	121
0	82
0	94
1	183
0	62
0	1
0	16
1	1
0	2
191	2097
3	781
48	1890
0	1
4	676
37	37
200	46
34	10
10	36
9	2
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	3
0	3
0	3
0	3
0	4
0	3
1	4
0	10
0	0
0	204
1	193
0	182
0	193
0	1
0	6
1	5
0	2
1	0
17	57
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
