"","Geneid","DZ_curves_0_1","DZ_curves_0_2","DZ_curves_0_3","ensgene","symbol"
"1","ENSG00000000003.15",696.341164709639,873.495810057108,757.917435370168,"ENSG00000000003","TSPAN6"
"2","ENSG00000000419.14",2492.4968074143,2561.88716557292,2649.23518214439,"ENSG00000000419","DPM1"
"3","ENSG00000000457.14",907.277696223744,904.174697081974,936.26064656558,"ENSG00000000457","SCYL3"
"4","ENSG00000000460.17",1231.32002516823,1479.99245882509,1509.09151583291,"ENSG00000000460","C1orf112"
"5","ENSG00000001036.14",2453.07538919442,2414.76465847332,2294.93767533978,"ENSG00000001036","FUCA2"
"6","ENSG00000001084.13",3119.92157760779,3086.18487943755,3185.19440834735,"ENSG00000001084","GCLC"
"7","ENSG00000001167.15",5125.00548186993,5327.17661640579,5614.77070986861,"ENSG00000001167","NFYA"
"8","ENSG00000001461.17",751.223965008243,748.141984199965,664.852210709653,"ENSG00000001461","NIPAL3"
"9","ENSG00000001497.18",3500.3774298362,3504.11685148555,3579.00501428651,"ENSG00000001497","LAS1L"
"10","ENSG00000001561.7",329.488734705817,307.869304707934,315.915498555955,"ENSG00000001561","ENPP4"
"11","ENSG00000001617.12",364.091402119086,378.896873190234,297.281045787891,"ENSG00000001617","SEMA3F"
"12","ENSG00000001629.10",6977.92326012153,6725.03275630439,7135.46518367995,"ENSG00000001629","ANKIB1"
"13","ENSG00000001630.18",10715.3149637511,11115.5509906851,10189.8772668169,"ENSG00000001630","CYP51A1"
"14","ENSG00000001631.17",3991.29547927378,4125.55289545109,4049.95451100109,"ENSG00000001631","KRIT1"
"15","ENSG00000002016.18",495.1611548101,451.55101259235,617.222302067221,"ENSG00000002016","RAD52"
"16","ENSG00000002549.13",2322.00500477571,2203.08967141996,2064.48110320072,"ENSG00000002549","LAP3"
"17","ENSG00000002586.20",6977.36256083675,7066.82079368383,6900.29044657288,"ENSG00000002586","CD99"
"18","ENSG00000002822.16",890.369050862883,905.497558689493,789.746990001763,"ENSG00000002822","MAD1L1"
"19","ENSG00000002834.18",5150.91438044723,5204.85917894592,4917.88995693705,"ENSG00000002834","LASP1"
"20","ENSG00000002919.15",411.532261336228,451.70545968106,402.098754177363,"ENSG00000002919","SNX11"
"21","ENSG00000003056.8",5569.14905241564,5525.71316304382,5302.85521455325,"ENSG00000003056","M6PR"
"22","ENSG00000003096.14",9223.31308590772,9682.94025693639,9431.20047098975,"ENSG00000003096","KLHL13"
"23","ENSG00000003147.19",9373.47197296767,8976.48722950272,10129.9088281814,"ENSG00000003147","ICA1"
"24","ENSG00000003249.15",1712.20616939428,1797.78364919479,1731.70294282872,"ENSG00000003249","DBNDD1"
"25","ENSG00000003393.16",2833.93527816863,2797.3361106305,2852.18614009347,"ENSG00000003393","ALS2"
"26","ENSG00000003402.21",1587.01149463019,1543.17470145688,1634.62478839449,"ENSG00000003402","CFLAR"
"27","ENSG00000003436.16",390.608744038762,346.906879195269,528.510341243155,"ENSG00000003436","TFPI"
"28","ENSG00000003509.16",1665.04895669201,1693.44589688212,1636.99025769441,"ENSG00000003509","NDUFAF7"
"29","ENSG00000003756.17",5061.82745900446,4539.67524695153,6036.91085036237,"ENSG00000003756","RBM5"
"30","ENSG00000003987.14",1364.95782640687,1336.63118341525,1398.46691873293,"ENSG00000003987","MTMR7"
"31","ENSG00000003989.18",13314.8120262935,12848.8195092228,12557.4355252611,"ENSG00000003989","SLC7A2"
"32","ENSG00000004059.11",2635.73285639898,2587.37816025142,2662.71076970975,"ENSG00000004059","ARF5"
"33","ENSG00000004139.14",3938.77505755897,3868.26206802916,3922.6459573853,"ENSG00000004139","SARM1"
"34","ENSG00000004142.12",2125.61717859051,2031.02593971839,2064.66269883839,"ENSG00000004142","POLDIP2"
"35","ENSG00000004399.13",5158.0925114137,5253.70716459238,5066.63980133873,"ENSG00000004399","PLXND1"
"36","ENSG00000004455.18",12210.8025946649,12638.842347163,12462.3740331272,"ENSG00000004455","AK2"
"37","ENSG00000004478.8",11399.8244393349,11931.3897817089,10487.0023641368,"ENSG00000004478","FKBP4"
"38","ENSG00000004487.18",14331.0510604562,14281.3833235904,13929.0468738823,"ENSG00000004487","KDM1A"
"39","ENSG00000004534.15",4361.98283212334,4207.14830018445,5384.07587841957,"ENSG00000004534","RBM6"
"40","ENSG00000004660.15",811.079626233822,802.071829429292,976.078536171951,"ENSG00000004660","CAMKK1"
"41","ENSG00000004700.16",3587.91014124988,3795.5797343142,4076.98498250282,"ENSG00000004700","RECQL"
"42","ENSG00000004766.17",1849.49969071269,1653.20270126602,1718.62272744714,"ENSG00000004766","VPS50"
"43","ENSG00000004777.19",526.222027918094,487.541878449034,606.953084124932,"ENSG00000004777","ARHGAP33"
"44","ENSG00000004779.10",2793.90150123965,2891.79381439748,2778.5050053435,"ENSG00000004779","NDUFAB1"
"45","ENSG00000004848.8",654.98745749544,599.2487364099,560.119063544667,"ENSG00000004848","ARX"
"46","ENSG00000004864.14",6130.80357072287,6497.53376864267,6455.88732182184,"ENSG00000004864","SLC25A13"
"47","ENSG00000004866.22",2676.67145149406,2867.9391178835,2713.12069829235,"ENSG00000004866","ST7"
"48","ENSG00000004866.22",2676.67145149406,2867.9391178835,2713.12069829235,"ENSG00000004866","ST7"
"49","ENSG00000004897.12",9028.57726330957,9381.44522212772,9481.09012618685,"ENSG00000004897","CDC27"
"50","ENSG00000004961.15",1205.64342820875,1275.35081469048,1255.0675316272,"ENSG00000004961","HCCS"
"51","ENSG00000004975.12",1500.02273714368,1539.06275572102,1512.16267544105,"ENSG00000004975","DVL2"
"52","ENSG00000005007.13",4431.89742034101,4477.88684900633,4552.91123190438,"ENSG00000005007","UPF1"
"53","ENSG00000005022.6",15065.9898575229,15327.506312344,14259.7928970209,"ENSG00000005022","SLC25A5"
"54","ENSG00000005059.16",459.890828197151,487.773867609387,521.850019705699,"ENSG00000005059","MCUB"
"55","ENSG00000005075.16",1400.97902189319,1466.34789277556,1486.1595864459,"ENSG00000005075","POLR2J"
"56","ENSG00000005100.13",4040.60057512018,4099.45715978175,4167.84596091476,"ENSG00000005100","DHX33"
"57","ENSG00000005108.17",14430.8712771476,14046.701705909,15264.2485645516,"ENSG00000005108","THSD7A"
"58","ENSG00000005156.12",9352.02001221166,8143.61114608986,8646.53879920246,"ENSG00000005156","LIG3"
"59","ENSG00000005175.10",3176.98166578181,3403.55199961249,3300.48917366022,"ENSG00000005175","RPAP3"
"60","ENSG00000005189.20",367.976054041945,307.06980231161,333.798010997898,"ENSG00000005189","REXO5"
"61","ENSG00000005194.15",3318.21085193186,3056.69585401911,2898.38223087132,"ENSG00000005194","CIAPIN1"
"62","ENSG00000005206.17",834.29550808634,844.145131250216,932.552873421881,"ENSG00000005206","SPPL2B"
"63","ENSG00000005238.20",359.988295234494,328.680375691047,368.552645112738,"ENSG00000005238","FAM214B"
"64","ENSG00000005249.13",4901.71799660241,4900.47735784267,4802.49244494424,"ENSG00000005249","PRKAR2B"
"65","ENSG00000005302.19",1048.848101112,1036.62520337762,1117.68274768071,"ENSG00000005302","MSL3"
"66","ENSG00000005339.15",4252.3771127905,5015.67244776444,4833.26717714561,"ENSG00000005339","CREBBP"
"67","ENSG00000005379.17",399.99247183297,436.38938717588,448.490749820466,"ENSG00000005379","TSPOAP1"
"68","ENSG00000005436.14",3952.7389804428,3972.21380865524,3717.78555402362,"ENSG00000005436","GCFC2"
"69","ENSG00000005448.17",1403.63429113789,1348.21439403024,1302.85997584096,"ENSG00000005448","WDR54"
"70","ENSG00000005469.12",732.221645617825,711.141423906411,853.381147362185,"ENSG00000005469","CROT"
"71","ENSG00000005483.22",9808.74748945476,9591.94689905168,10410.6445720507,"ENSG00000005483","KMT2E"
"72","ENSG00000005486.17",864.876925202595,897.45925800135,979.426729989061,"ENSG00000005486","RHBDD2"
"73","ENSG00000005700.15",7524.59638175834,7623.47694127764,7550.59401497831,"ENSG00000005700","IBTK"
"74","ENSG00000005801.18",4569.32755981747,4365.58740738106,4815.09306909295,"ENSG00000005801","ZNF195"
"75","ENSG00000005810.20",9960.43046347314,9629.6271982834,12270.3740653157,"ENSG00000005810","MYCBP2"
"76","ENSG00000005812.11",2220.43438622953,2233.51444983113,2294.19485826201,"ENSG00000005812","FBXL3"
"77","ENSG00000005882.12",712.688237484458,853.440907323941,855.418047182089,"ENSG00000005882","PDK2"
"78","ENSG00000005889.16",3430.02450840485,3182.92728352705,2798.25781119101,"ENSG00000005889","ZFX"
"79","ENSG00000005893.16",4512.35322072103,4408.25129354508,4557.74843338056,"ENSG00000005893","LAMP2"
"80","ENSG00000006007.12",2985.17061102242,3162.39456242983,3406.5909269508,"ENSG00000006007","GDE1"
"81","ENSG00000006015.18",282.428581898239,318.65022216101,324.341777246272,"ENSG00000006015","C19orf60"
"82","ENSG00000006118.15",6113.07006749027,6121.05059517649,6188.15662491059,"ENSG00000006118","TMEM132A"
"83","ENSG00000006125.18",33966.1954990294,32507.9187553631,31288.5245069177,"ENSG00000006125","AP2B1"
"84","ENSG00000006194.10",1666.88350225907,1585.22740223993,1678.02897448874,"ENSG00000006194","ZNF263"
"85","ENSG00000006210.7",1319.09327456696,1311.78221324233,1268.37941765394,"ENSG00000006210","CX3CL1"
"86","ENSG00000006282.21",1545.09698294965,1590.15281840233,1631.82148702095,"ENSG00000006282","SPATA20"
"87","ENSG00000006377.11",1288.1216746156,1403.04115602121,1384.96583998465,"ENSG00000006377","DLX6"
