"","Geneid","DZ_curves_002_1","DZ_curves_002_2","DZ_curves_002_3","DZ_curves_003_1","DZ_curves_003_2","DZ_curves_003_3","DZ_curves_004_1","DZ_curves_004_2","DZ_curves_004_3","DZ_curves_005_1","DZ_curves_005_2","DZ_curves_005_3","DZ_curves_0075_1","DZ_curves_0075_2","DZ_curves_0075_3","DZ_curves_01_1","DZ_curves_01_2","DZ_curves_01_3","DZ_curves_1_1","DZ_curves_1_2","DZ_curves_1_3","DZ_curves_0_1","DZ_curves_0_2","DZ_curves_0_3","ensgene","symbol"
"1","ENSG00000000003.15",676.845352849689,868.097483922693,935.030755111476,839.384014347593,880.445128754116,938.570255121752,933.267584756014,845.755478186706,895.829806515296,929.369677472282,788.191830754198,1008.73368159027,921.119922039938,741.432465612719,943.364467384278,746.33732698076,735.819183663446,834.903535937849,657.344464336612,745.963731835975,879.28013953418,705.268349804053,886.751055710757,759.758388123923,"ENSG00000000003","TSPAN6"
"2","ENSG00000000419.14",2597.87761693717,2664.09388835719,2710.04949772332,2710.56863401379,2621.50530949847,2457.07678792733,2583.11692213834,2513.4836219539,2478.35546616145,2530.11514342761,2463.80837239068,2470.67311424605,2379.48483068258,2524.21504977733,2614.53954770767,2510.29571597361,2332.25884886391,2549.11949654972,2515.10384797275,2470.36675819766,2474.55333462985,2629.15659921469,2708.63449469085,2765.8182539019,"ENSG00000000419","DPM1"
"3","ENSG00000000457.14",926.866675425738,879.584993892477,975.961584181689,1023.67677418807,951.928579100479,962.647724085799,989.062232872747,957.019965473293,946.638268005064,918.316279962362,1016.04360571426,923.445157831601,944.799595263636,937.507676585469,844.851171124208,967.300100828065,978.237678799612,935.767033591574,938.634677056004,893.260649234451,954.359837504651,963.49868681115,962.435878978264,984.076684950932,"ENSG00000000457","SCYL3"
"4","ENSG00000000460.17",1115.23598158126,1431.31661048906,1173.37966279847,989.935912932499,1160.23752625663,1172.91516802889,1230.33349837765,1039.94663290481,1081.74861543333,966.182515262178,979.101661219177,1144.94918181707,1019.79212203247,892.525854427787,1009.14955655402,930.164846091104,998.489389547993,1142.5883370821,1047.9040658491,1014.0851031057,1214.97297660984,1334.73268193865,1608.01989497245,1619.0498114797,"ENSG00000000460","C1orf112"
"5","ENSG00000001036.14",2697.3014716973,2464.88506085365,2564.14245646591,2779.53655589573,2577.21177119391,2537.03325728104,2492.68405607667,2462.34386415957,2428.16862059157,2494.90496965182,2488.26239781541,2620.69346302246,2671.55441087003,2714.38849997244,2660.66464366245,2620.71417510352,2607.31502927646,2588.93972881262,2783.32358135635,2662.37270750024,2681.52717450311,2635.200415296,2600.07651796675,2440.02868206405,"ENSG00000001036","FUCA2"
"6","ENSG00000001084.13",3379.14378499334,3338.83548358135,3246.74389882492,3318.57595730388,3375.13312974272,3230.78883225222,3064.43749349969,3278.97336322184,3309.95531706355,3240.84155145726,3303.57471624372,3387.02739739382,3468.50087756963,3352.42985646217,3396.75244360198,3617.82105426662,3603.21164696083,3473.99555429886,3477.65671587815,3670.27622385381,3678.72286123233,3299.57517553961,3271.48438728975,3334.04590590469,"ENSG00000001084","GCLC"
"7","ENSG00000001167.15",5192.94573384803,4982.58379568553,5323.04943750998,5038.71070596713,5014.23788714147,5128.20905975681,4931.86685892891,4943.94934447784,4813.65690971418,4987.46364893859,4655.58307088769,4713.55784921097,4427.67309023264,4361.31034814027,4467.6330191809,4430.28133125944,4556.6039193711,4301.10611706431,4504.0396627467,4312.45866479792,4389.99153089328,5334.5516401217,5557.88105301713,5784.38106565454,"ENSG00000001167","NFYA"
"8","ENSG00000001461.17",991.988023519034,800.8250698054,938.777151318947,942.300030680374,966.17859873258,824.218270089188,911.083834252844,952.628771378965,936.291026941568,937.201476525656,883.942879222163,914.779505376084,986.455396079753,999.299455191701,952.992830850893,1075.09608893313,975.041715072485,939.204109736451,1032.15506430546,1056.9714261319,964.478311121414,825.053923315325,823.579428154807,722.702068533925,"ENSG00000001461","NIPAL3"
"9","ENSG00000001497.18",3374.06758157029,3586.77116910353,3582.18579062365,3513.82037680013,3582.80056675559,3439.63228471908,3380.89279344811,3454.42657578417,3189.32694275712,3303.57916308557,3425.47168180115,3691.1806711852,3415.64065541258,3447.52013253362,3648.04523792342,3526.60729956219,3438.82563260524,3541.02902773005,3494.47547665517,3547.11888179194,3542.68850915592,3689.21743771496,3701.74519286998,3733.38661005649,"ENSG00000001497","LAS1L"
"10","ENSG00000001561.7",348.2480225969,300.221943980057,303.026172452505,328.891573978019,325.026164170825,281.105479811788,321.637172569686,282.397332904259,348.205191513628,334.170865181057,250.303808668308,333.927207314164,310.721293727387,308.002120508705,307.958156961857,288.667582885407,291.548640240988,333.126746943505,240.410851475312,214.245777858589,200.775034628002,346.445488057806,324.46607338633,328.765738630962,"ENSG00000001561","ENPP4"
"11","ENSG00000001617.12",396.824256362414,380.409358735195,373.168965463518,451.477773701983,458.978210839129,358.482094242844,389.529088884611,434.691190837111,401.605830202614,402.020503818674,384.110652204576,356.030991319711,396.007044786904,364.192698640325,317.306851993842,338.905399926086,338.635893772232,294.703615202567,258.220953851438,223.05308864423,199.103838821853,422.261502846394,440.454093005089,341.23971188753,"ENSG00000001617","SEMA3F"
"12","ENSG00000001629.10",7322.29414447442,7537.98536168168,7460.09279709728,7094.69170485424,7472.07807433302,7209.86578535912,6807.98720321449,7496.51505859622,7350.5569002242,7318.46597279896,7565.25494390503,6869.16228835476,7009.73086132213,7362.80609466347,7237.39888101051,7804.78007835473,7552.56113831525,7310.50609265645,7517.49165930863,7819.27382200032,7703.76877101882,7260.9906576616,7014.11135094841,7348.74641334769,"ENSG00000001629","ANKIB1"
"13","ENSG00000001630.18",11074.2501671389,10582.3308973406,11071.9778569597,11139.9392650406,10494.5901073292,10347.2991930296,11673.9751708408,10416.3629779441,10478.1516193447,10604.1860722584,11152.0484753776,11474.3775737324,11577.891830037,11779.6566020411,11967.165697121,11504.7356228516,11158.238942992,11857.9847547779,13731.7000959227,13356.7955865237,13636.3602260924,11239.9093995226,11686.8488665288,10579.0849223248,"ENSG00000001630","CYP51A1"
"14","ENSG00000001631.17",4183.81496348856,4763.44581195021,4415.72857630967,4095.06441606344,4675.36513531677,4402.47703222736,4066.68670903562,4267.42796413073,4535.49743915016,4158.95329517315,4197.77939009238,4083.31580392463,3486.9983619311,4034.12173332529,4139.6239784388,4295.94266330858,3727.29162151384,4155.91987952145,3428.27985612047,4009.85090585974,3802.90940292842,4110.53595529981,4258.6828037124,4128.15501772902,"ENSG00000001631","KRIT1"
"15","ENSG00000002016.18",527.738096170258,512.343273457777,505.726493206771,395.703761724297,594.425109494746,637.785253143809,656.752483395556,488.021506200654,732.149388658689,622.9001903906,627.401022425803,496.721015033129,524.273364154802,639.845989832729,545.134905559611,561.351946101639,636.343366333964,555.852780981764,527.897320195303,613.851630005796,591.565780849034,486.216111332243,444.424673553465,599.854152087728,"ENSG00000002016","RAD52"
"16","ENSG00000002330.14",232.504704838581,267.107917209081,299.364424926258,360.575695108862,348.689572970303,329.168361727088,387.60284441425,350.104426989313,420.754508574223,432.611002650357,390.41583052386,447.397662872614,460.110400413847,371.323529540943,408.994738598007,401.108135453518,359.167237001177,446.359067792023,459.54215293471,462.250679507169,491.337776121748,250.637985914976,300.015113981937,281.078673829678,"ENSG00000002330","BAD"
