Sample 1
3/25/2021 5:42 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.14000	
//WLCalib: 261S 	0.08000	
//WLCalib: 362S 	0.02000	
//WLCalib: 484S 	-0.04000	
//WLCalib: 529S 	0.04000	
//WLCalib: 823S 	-0.28000	
//QSpecEnd: 
220.0	6.105
220.5	5.933
221.0	5.761
221.5	5.592
222.0	5.429
222.5	5.262
223.0	5.101
223.5	4.945
224.0	4.784
224.5	4.624
225.0	4.485
225.5	4.381
226.0	4.303
226.5	4.241
227.0	4.191
227.5	4.149
228.0	4.112
228.5	4.079
229.0	4.050
229.5	4.024
230.0	3.999
230.5	3.976
231.0	3.953
231.5	3.933
232.0	3.912
232.5	3.887
233.0	3.858
233.5	3.829
234.0	3.809
234.5	3.796
235.0	3.790
235.5	3.793
236.0	3.805
236.5	3.829
237.0	3.860
237.5	3.902
238.0	3.958
238.5	4.030
239.0	4.109
239.5	4.192
240.0	4.268
240.5	4.338
241.0	4.403
241.5	4.466
242.0	4.531
242.5	4.603
243.0	4.690
243.5	4.793
244.0	4.899
244.5	4.989
245.0	5.071
245.5	5.145
246.0	5.217
246.5	5.292
247.0	5.366
247.5	5.435
248.0	5.501
248.5	5.564
249.0	5.624
249.5	5.679
250.0	5.730
250.5	5.785
251.0	5.846
251.5	5.912
252.0	5.986
252.5	6.057
253.0	6.127
253.5	6.193
254.0	6.251
254.5	6.300
255.0	6.344
255.5	6.382
256.0	6.417
256.5	6.448
257.0	6.474
257.5	6.491
258.0	6.495
258.5	6.496
259.0	6.492
259.5	6.482
260.0	6.471
260.5	6.457
261.0	6.441
261.5	6.420
262.0	6.393
262.5	6.360
263.0	6.320
263.5	6.269
264.0	6.203
264.5	6.121
265.0	6.029
265.5	5.937
266.0	5.846
266.5	5.757
267.0	5.675
267.5	5.587
268.0	5.489
268.5	5.388
269.0	5.292
269.5	5.205
270.0	5.122
270.5	5.037
271.0	4.952
271.5	4.870
272.0	4.787
272.5	4.701
273.0	4.613
273.5	4.525
274.0	4.440
274.5	4.354
275.0	4.268
275.5	4.179
276.0	4.079
276.5	3.976
