gene_name,gene_id,lsv_id,mean_dpsi_per_lsv_junction,probability_changing,probability_non_changing,noDox_mean_psi,dox00187_mean_psi,lsv_type,num_junctions,num_exons,de_novo_junctions,seqid,strand,junctions_coords,exons_coords,ir_coords,ucsc_lsv_link
RAD52,ENSG00000002016.18,ENSG00000002016.18:s:929764-929886,0.1280;-0.1262;0.0000,5.767e-01;5.698e-01;6.278e-04,4.283e-02;4.530e-02;9.594e-01,0.8175;0.1755;0.0084,0.9810;0.0095;0.0095,s|1e1.1o1|2e1.1o1|i,3,2,0;0;1,chr12,-,927263-929819;927263-929764;927264-929763,927145-927263;929764-929886,927264-929763,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A929886-927145
REXO5,ENSG00000005189.20,ENSG00000005189.20:s:20821762-20821902,0.2495;-0.2495,8.889e-01;8.889e-01,4.057e-03;4.057e-03,0.5974;0.4026,0.8803;0.1197,s|1e1.1o1|1e2.1o1,2,3,0;0,chr16,+,20821902-20824439;20821902-20825833,20821762-20821902;20824439-20824527;20825562-20825948,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A20825948-20821762
REXO5,ENSG00000005189.20,ENSG00000005189.20:t:20825562-20825948,-0.1288;0.1288,6.635e-01;6.635e-01,3.397e-02;3.397e-02,0.1949;0.8051,0.0595;0.9405,t|1e1.1o1|1e2.1o1,2,3,0;0,chr16,+,20821902-20825833;20824527-20825833,20821762-20821902;20824439-20824527;20825562-20825948,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A20825948-20821762
ZNF195,ENSG00000005801.18,ENSG00000005801.18:t:3361743-3361889,-0.1617;0.0000;0.0010;0.0425;0.0142;0.0340,7.587e-01;6.676e-09;7.295e-05;1.776e-01;8.462e-03;1.141e-01,1.785e-02;9.997e-01;9.119e-01;2.548e-01;6.499e-01;3.329e-01,0.6895;0.0009;0.0187;0.2000;0.0009;0.0826,0.5133;0.0064;0.0290;0.2732;0.0481;0.1358,t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o2|1e3.2o2|1e4.1o1,6,5,0;0;1;0;0;0,chr11,-,3361889-3370975;3361889-3370943;3361889-3369357;3361889-3362546;3361889-3362533;3361889-3361976,3361743-3361889;3361976-3362073;3362533-3362831;3369241-3369502;3370943-3371147,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A3371147-3361743
ZNF195,ENSG00000005801.18,ENSG00000005801.18:t:3362533-3362831,-0.3842;-0.0770;0.5251,9.766e-01;3.472e-01;9.995e-01,4.448e-04;1.331e-01;4.170e-06,0.7113;0.1290;0.1587,0.3222;0.0044;0.6734,t|1e1.1o2|1e2.1o1|1e3.1o1,3,4,0;0;1,chr11,-,3362602-3370975;3362602-3369357;3362602-3363303,3362533-3362831;3363303-3363391;3369241-3369502;3370943-3371147,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A3371147-3362533
ZFX,ENSG00000005889.16,ENSG00000005889.16:s:24149629-24149794,0.0009;0.1588;-0.0171;-0.1238;-0.0020,2.474e-04;6.781e-01;4.904e-02;5.447e-01;1.094e-03,9.607e-01;2.342e-02;4.790e-01;4.426e-02;9.163e-01,0.0019;0.3607;0.0778;0.5453;0.0196,0.0150;0.5812;0.0464;0.3613;0.0025,s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1,5,6,0;0;0;0;0,chrX,+,24149794-24150506;24149794-24151691;24149794-24152720;24149794-24172715;24149794-24207326,24149629-24149794;24150506-24150819;24151691-24151800;24152720-24152830;24172715-24172914;24207326-24207475,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A24207475-24149629
ZFX,ENSG00000005889.16,ENSG00000005889.16:t:24172715-24172914,-0.1130;0.0353;0.0554,5.611e-01;1.732e-01;2.478e-01,5.453e-02;2.576e-01;1.917e-01,0.2650;0.5442;0.1873,0.1354;0.5938;0.2639,t|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;0,chrX,+,24149794-24172715;24152830-24172715;24161842-24172715,24149629-24149794;24152720-24152830;24161715-24161842;24172715-24172914,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A24172914-24149629
OSBPL7,ENSG00000006025.12,ENSG00000006025.12:t:47807372-47807836,0.0000;0.1219;-0.1261,6.285e-06;6.264e-01;6.511e-01,9.968e-01;4.446e-02;3.904e-02,0.0040;0.0040;0.9919,0.0044;0.1602;0.8355,t|1e2.1o1|2e1.1o1|i,3,3,0;1;0,chr17,-,47807836-47808191;47807708-47808538;47807837-47808190,47807372-47807836;47808191-47808399;47808538-47808660,47807837-47808190,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A47808660-47807372
CACNA1G,ENSG00000006283.18,ENSG00000006283.18:s:50601051-50601174,-0.1521;0.1521,7.099e-01;7.099e-01,2.317e-02;2.317e-02,0.9604;0.0396,0.7768;0.2232,s|1e1.1o1|1e2.1o1,2,3,0;1,chr17,+,50601174-50602820;50601174-50603015,50601051-50601174;50602820-50602888;50603015-50603199,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A50603199-50601051
CACNA1G,ENSG00000006283.18,ENSG00000006283.18:t:50603015-50603199,0.1717;-0.1717,7.366e-01;7.366e-01,1.727e-02;1.727e-02,0.0543;0.9457,0.2633;0.7367,t|1e1.1o1|1e2.1o1,2,3,1;0,chr17,+,50601174-50603015;50602888-50603015,50601051-50601174;50602820-50602888;50603015-50603199,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A50603199-50601051
ETV1,ENSG00000006468.14,ENSG00000006468.14:s:13989563-13989947,-0.1112;0.1112,5.423e-01;5.423e-01,5.868e-02;5.868e-02,0.2377;0.7623,0.0995;0.9005,s|1e1.1o1|1e2.1o1,2,3,0;0,chr7,-,13989464-13989563;13989139-13989563,13989008-13989139;13989268-13989464;13989563-13989947,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A13989947-13989008
ARSD,ENSG00000006756.16,ENSG00000006756.16:s:2917804-2918227,-0.1551;0.1559;-0.0000,7.321e-01;7.373e-01;3.158e-06,2.096e-02;2.035e-02;9.977e-01,0.9199;0.0754;0.0041,0.7372;0.2582;0.0040,s|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;1,chrX,-,2915692-2917804;2914773-2917804;2910793-2917804,2910659-2910793;2913614-2914773;2915556-2915692;2917804-2918227,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A2918227-2910659
TRAPPC6A,ENSG00000007255.10,ENSG00000007255.10:s:45178093-45178237,-0.0825;-0.0145;0.1933;-0.0655,4.037e-01;8.205e-02;7.491e-01;3.045e-01,8.777e-02;4.028e-01;1.364e-02;1.515e-01,0.3312;0.1040;0.3703;0.1705,0.2145;0.0919;0.6272;0.0747,s|1e1.1o1|1e2.1o1|2e1.1o1|2e2.1o1,4,3,0;0;0;0,chr19,-,45165194-45178135;45164970-45178135;45165194-45178093;45164970-45178093,45164725-45164970;45165127-45165194;45178093-45178237,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A45178237-45164725
CRAMP1,ENSG00000007545.16,ENSG00000007545.16:t:1667959-1668193,0.0902;0.0302;-0.1383,4.171e-01;2.433e-01;6.013e-01,9.852e-02;1.746e-01;3.263e-02,0.0042;0.2258;0.7702,0.1339;0.2925;0.5564,t|1e2.1o1|2e1.1o1|2e2.1o1,3,3,1;0;0,chr16,+,1667400-1667959;1666600-1667962;1667400-1667962,1666422-1666600;1667335-1667417;1667959-1668193,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A1668193-1666422
CDKL5,ENSG00000008086.13,ENSG00000008086.13:s:18598462-18598613,-0.2353;0.2353,9.345e-01;9.345e-01,1.170e-03;1.170e-03,0.2761;0.7239,0.0187;0.9813,s|1e1.1o1|2e1.1o1,2,2,1;0,chrX,+,18598562-18603902;18598613-18603902,18598462-18598613;18603902-18604868,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A18604868-18598462
CDKL5,ENSG00000008086.13,ENSG00000008086.13:t:18625128-18625247,-0.1019;0.1019,4.698e-01;4.698e-01,5.661e-02;5.661e-02,0.8070;0.1930,0.6549;0.3451,t|1e1.1o1|1e2.1o1,2,3,0;0,chrX,+,18619966-18625128;18624001-18625128,18619867-18619966;18623879-18624001;18625128-18625247,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A18625247-18619867
SYPL1,ENSG00000008282.9,ENSG00000008282.9:s:106097690-106097897,0.0005;0.0118;0.0598;-0.1095,1.932e-06;3.485e-03;2.754e-01;5.553e-01,9.789e-01;6.919e-01;1.704e-01;5.744e-02,0.0062;0.0164;0.4182;0.5595,0.0211;0.0407;0.5129;0.4226,s|1e1.1o3|1e1.2o3|1e1.3o3|1e2.1o1,4,3,1;1;0;0,chr7,-,106096317-106097690;106096314-106097690;106096302-106097690;106093137-106097690,106092949-106093252;106096293-106096317;106097690-106097897,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A106097897-106092949
IFFO1,ENSG00000010295.20,ENSG00000010295.20:s:6549756-6550467,0.1197;0.0118;-0.1711,5.567e-01;1.048e-02;7.432e-01,4.825e-02;6.723e-01;1.724e-02,0.2331;0.0023;0.7646,0.4002;0.0492;0.5605,s|1e1.1o2|1e1.2o2|1e2.2o2,3,3,0;1;0,chr12,-,6549484-6549756;6549481-6549756;6548825-6549756,6548668-6549265;6549476-6549484;6549756-6550467,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A6550467-6548668
IFFO1,ENSG00000010295.20,ENSG00000010295.20:t:6548668-6549265,0.0000;-0.1655;0.1168;0.0294,8.574e-08;7.286e-01;5.672e-01;1.125e-01,9.998e-01;1.886e-02;4.728e-02;3.398e-01,0.0016;0.7280;0.2021;0.0731,0.0023;0.5237;0.3511;0.1189,t|1e2.1o1|2e1.1o1|2e2.1o1|i,4,3,0;0;0;1,chr12,-,6548849-6549476;6548825-6549756;6548825-6549476;6549266-6549475,6548668-6549265;6549476-6549484;6549756-6550467,6549266-6549475,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A6550467-6548668
IFFO1,ENSG00000010295.20,ENSG00000010295.20:t:6550941-6551001,-0.1371;0.1371,6.510e-01;6.510e-01,3.293e-02;3.293e-02,0.6973;0.3027,0.5334;0.4666,t|1e1.1o1|1e2.1o1,2,3,0;0,chr12,-,6551001-6555257;6551001-6551398,6550941-6551001;6551398-6551503;6555257-6556073,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A6556073-6550941
ZNF200,ENSG00000010539.12,ENSG00000010539.12:t:3233506-3234195,0.0057;-0.1689;0.1543,6.355e-03;7.424e-01;6.908e-01,6.832e-01;1.777e-02;2.395e-02,0.0402;0.5234;0.4355,0.0558;0.3256;0.6216,t|1e1.1o1|1e2.1o2|1e2.2o2,3,3,0;0;0,chr16,-,3233836-3235112;3233836-3234987;3233836-3234636,3233506-3234195;3234636-3235070;3235112-3235457,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A3235457-3233506
FYN,ENSG00000010810.17,ENSG00000010810.17:t:111780566-111780635,0.0936;-0.1127;0.0000;0.0000;0.0004;0.0000;0.0000;-0.0000;0.0000,4.638e-01;6.106e-01;6.915e-21;6.915e-21;1.143e-07;6.915e-21;6.915e-21;6.915e-21;6.915e-21,8.184e-02;4.269e-02;1.000e+00;1.000e+00;9.836e-01;1.000e+00;1.000e+00;1.000e+00;1.000e+00,0.1159;0.8741;0.0003;0.0003;0.0031;0.0003;0.0003;0.0055;0.0003,0.2235;0.7500;0.0003;0.0003;0.0237;0.0003;0.0003;0.0003;0.0003,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1|1e8.1o1|1e9.1o1,9,10,0;0;0;0;0;0;0;0;0,chr6,-,111780635-111872968;111780635-111846589;111780635-111844777;111780635-111819860;111780635-111818615;111780635-111813892;111780635-111798355;111780635-111793623;111780635-111781056,111780566-111780635;111781056-111781080;111793623-111793912;111798355-111798423;111813892-111814107;111818615-111818740;111819860-111820078;111844777-111844944;111846589-111846629;111872968-111873205,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A111873205-111780566
APBA3,ENSG00000011132.12,ENSG00000011132.12:t:3752820-3752990,-0.1042;0.1042,5.022e-01;5.022e-01,7.097e-02;7.097e-02,0.1439;0.8561,0.0066;0.9934,t|1e1.1o1|1e2.1o1,2,3,1;0,chr19,-,3752990-3754019;3752990-3753765,3752820-3752990;3753765-3753926;3754019-3754141,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A3754141-3752820
MKS1,ENSG00000011143.19,ENSG00000011143.19:s:58207894-58208001,-0.1067;-0.0000;0.0917;0.0042,5.275e-01;2.577e-06;4.456e-01;5.481e-03,6.522e-02;9.985e-01;8.579e-02;7.340e-01,0.1590;0.0032;0.8111;0.0288,0.0225;0.0026;0.9314;0.0422,s|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1,4,4,0;0;0;0,chr17,-,58207729-58207894;58207373-58207894;58207218-58207894;58206380-58207894,58206283-58206380;58207085-58207373;58207561-58207729;58207894-58208001,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A58208001-58206283
DPF1,ENSG00000011332.21,ENSG00000011332.21:t:38222548-38222708,-0.0190;0.0000;0.1209;0.0000;0.0000;0.0000;-0.0793,1.290e-01;6.230e-07;5.854e-01;6.230e-07;6.230e-07;6.230e-07;3.411e-01,3.125e-01;9.995e-01;4.654e-02;9.995e-01;9.995e-01;9.995e-01;1.409e-01,0.8004;0.0015;0.0797;0.0015;0.0015;0.0015;0.1153,0.7661;0.0016;0.2243;0.0016;0.0016;0.0016;0.0016,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o2|1e5.2o2|2e1.1o1,7,6,0;0;0;0;0;0;0,chr19,-,38222708-38229559;38222708-38227946;38222708-38224114;38222708-38223756;38222708-38223083;38222708-38222835;38222703-38229559,38222548-38222708;38222835-38223298;38223756-38223961;38224114-38224250;38227946-38228042;38229559-38229714,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A38229714-38222548
PIK3C2A,ENSG00000011405.13,ENSG00000011405.13:s:17207848-17207983,0.1225;-0.0000;-0.0145;-0.0895;0.0000,6.478e-01;1.726e-08;7.899e-02;4.291e-01;1.820e-09,3.797e-02;9.991e-01;4.065e-01;9.694e-02;9.998e-01,0.0597;0.0101;0.7976;0.1378;0.0009,0.1878;0.0010;0.7625;0.0425;0.0061,s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1,5,6,0;0;0;1;0,chr11,-,17204375-17207848;17194414-17207848;17169806-17207848;17155629-17207848;17150655-17207848,17150498-17150655;17155526-17155629;17168677-17169806;17194389-17194414;17204307-17204375;17207848-17207983,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A17207983-17150498
CEP68,ENSG00000011523.14,ENSG00000011523.14:s:65056366-65056528,-0.1214;-0.0002;0.1294,5.437e-01;5.842e-06;5.670e-01,4.419e-02;9.917e-01;3.906e-02,0.6435;0.0112;0.3511,0.4861;0.0031;0.5106,s|1e1.1o1|1e2.1o1|2e1.1o1,3,3,1;0;0,chr2,+,65056524-65069399;65056524-65071454;65056528-65069399,65056366-65056528;65069399-65069801;65070729-65072569,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A65072569-65056366
BRCA1,ENSG00000012048.23,ENSG00000012048.23:t:43104868-43104956,0.0741;0.0374;-0.1278,3.395e-01;9.801e-02;6.976e-01,1.388e-01;3.554e-01;2.753e-02,0.0573;0.0687;0.8779,0.1405;0.1214;0.7474,t|1e1.1o1|1e2.1o2|1e2.2o2,3,3,0;0;0,chr17,-,43104956-43115726;43104956-43106478;43104956-43106456,43104868-43104956;43106456-43106533;43115726-43115779,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A43115779-43104868
MAN2B2,ENSG00000013288.9,ENSG00000013288.9:t:6619927-6620044,-0.0907;-0.0055;0.1202,4.169e-01;2.935e-03;5.360e-01,7.597e-02;7.936e-01;4.559e-02,0.6537;0.0347;0.2999,0.5107;0.0053;0.4850,t|1e1.1o2|1e1.2o2|i,3,2,0;1;0,chr4,+,6617492-6619927;6617607-6619927;6618917-6619926,6617380-6617607;6619927-6620044,6618917-6619926,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A6620044-6617380
RWDD2A,ENSG00000013392.8,ENSG00000013392.8:t:83195595-83198935,-0.1635;0.1635,7.902e-01;7.902e-01,1.339e-02;1.339e-02,0.9934;0.0066,0.8046;0.1954,t|1e1.1o1|1e2.1o1,2,3,0;1,chr6,+,83194652-83195595;83195271-83195595,83194312-83194652;83195180-83195271;83195595-83198935,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A83198935-83194312
