"gene_name","de_novo_junctions","strand","paste_into_igv_junction","delta075025","delta025021","delta021018","delta018012","delta012000","color_gene_name","name","value"
"C1orf112",1,"+","chr1:169850567-169851816",0.0511,0.0012,0.0016,-0.000800000000000002,0.0065,"none","no_dox",0.0405
"C1orf112",1,"+","chr1:169850567-169851816",0.0511,0.0012,0.0016,-0.000800000000000002,0.0065,"none","dox_0125",0.047
"C1orf112",1,"+","chr1:169850567-169851816",0.0511,0.0012,0.0016,-0.000800000000000002,0.0065,"none","dox_0187",0.0462
"C1orf112",1,"+","chr1:169850567-169851816",0.0511,0.0012,0.0016,-0.000800000000000002,0.0065,"none","dox_021",0.0478
"C1orf112",1,"+","chr1:169850567-169851816",0.0511,0.0012,0.0016,-0.000800000000000002,0.0065,"none","dox_025",0.049
"C1orf112",1,"+","chr1:169850567-169851816",0.0511,0.0012,0.0016,-0.000800000000000002,0.0065,"none","dox_075",0.1001
"STPG1",0,"-","chr1:24384003-24401319",0.0978,0.0357,0.0196,-0.077,0.0567,"none","no_dox",0.0397
"STPG1",0,"-","chr1:24384003-24401319",0.0978,0.0357,0.0196,-0.077,0.0567,"none","dox_0125",0.0964
"STPG1",0,"-","chr1:24384003-24401319",0.0978,0.0357,0.0196,-0.077,0.0567,"none","dox_0187",0.0194
"STPG1",0,"-","chr1:24384003-24401319",0.0978,0.0357,0.0196,-0.077,0.0567,"none","dox_021",0.039
"STPG1",0,"-","chr1:24384003-24401319",0.0978,0.0357,0.0196,-0.077,0.0567,"none","dox_025",0.0747
"STPG1",0,"-","chr1:24384003-24401319",0.0978,0.0357,0.0196,-0.077,0.0567,"none","dox_075",0.1725
"STPG1",0,"-","chr1:24391679-24391924",0.0752,-0.0319,0.0649,-0.0365,0.0061,"none","no_dox",0.0399
"STPG1",0,"-","chr1:24391679-24391924",0.0752,-0.0319,0.0649,-0.0365,0.0061,"none","dox_0125",0.046
"STPG1",0,"-","chr1:24391679-24391924",0.0752,-0.0319,0.0649,-0.0365,0.0061,"none","dox_0187",0.0095
"STPG1",0,"-","chr1:24391679-24391924",0.0752,-0.0319,0.0649,-0.0365,0.0061,"none","dox_021",0.0744
"STPG1",0,"-","chr1:24391679-24391924",0.0752,-0.0319,0.0649,-0.0365,0.0061,"none","dox_025",0.0425
"STPG1",0,"-","chr1:24391679-24391924",0.0752,-0.0319,0.0649,-0.0365,0.0061,"none","dox_075",0.1177
