.id,gene_name,gene_id,lsv_id,mean_psi_per_lsv_junction,stdev_psi_per_lsv_junction,num_junctions,num_exons,de_novo_junctions,seqid,strand,lsv_junc,junc_start,junc_end,ir_start,ir_end,paste_into_igv_junction,exon_type,color_gene_name
no_dox,CDK11A,ENSG00000008128.23,ENSG00000008128.23:s:1719166-1719455,0.002,0.0011,3,3,1,chr1,-,ENSG00000008128.23:s:1719166-1719455_1709640-1719358,1709640,1719358,NA,NA,chr1:1709640-1719358,source,4
no_dox,CELSR3,ENSG00000008300.17,ENSG00000008300.17:s:48650268-48650289,0.0478,0.038,5,3,1,chr3,-,ENSG00000008300.17:s:48650268-48650289_48649718-48650267,48649718,48650267,48649718,48650267,chr3:48649718-48650267,source,4
no_dox,CELSR3,ENSG00000008300.17,ENSG00000008300.17:s:48650480-48650581,0.0136,0.01,3,3,1,chr3,-,ENSG00000008300.17:s:48650480-48650581_48650290-48650479,48650290,48650479,48650290,48650479,chr3:48650290-48650479,source,4
no_dox,CELSR3,ENSG00000008300.17,ENSG00000008300.17:t:48649121-48649215,0.0133,0.0099,5,4,1,chr3,-,ENSG00000008300.17:t:48649121-48649215_48649216-48649533,48649216,48649533,48649216,48649533,chr3:48649216-48649533,target,4
no_dox,WIZ,ENSG00000011451.21,ENSG00000011451.21:t:15436475-15437129,0.0046,0.0057,3,4,0,chr19,-,ENSG00000011451.21:t:15436475-15437129_15437129-15442676,15437129,15442676,NA,NA,chr19:15437129-15442676,target,5
no_dox,SYT7,ENSG00000011347.10,ENSG00000011347.10:s:61551384-61551463,0.0023,0.0023,4,5,1,chr11,-,ENSG00000011347.10:s:61551384-61551463_61547620-61551384,61547620,61551384,NA,NA,chr11:61547620-61551384,source,3
no_dox,SYT7,ENSG00000011347.10,ENSG00000011347.10:t:61532989-61533124,0.0015,0.0017,6,7,1,chr11,-,ENSG00000011347.10:t:61532989-61533124_61533124-61547530,61533124,61547530,NA,NA,chr11:61533124-61547530,target,5
no_dox,RNF14,ENSG00000013561.18,ENSG00000013561.18:s:141968886-141969234,0.0334,0.0229,3,3,0,chr5,+,ENSG00000013561.18:s:141968886-141969234_141969167-141973583,141969167,141973583,NA,NA,chr5:141969167-141973583,source,1
no_dox,DDX11,ENSG00000013573.17,ENSG00000013573.17:t:31102427-31102729,0.0145,0.0108,4,3,1,chr12,+,ENSG00000013573.17:t:31102427-31102729_31102301-31102427,31102301,31102427,NA,NA,chr12:31102301-31102427,target,5
no_dox,AGPAT4,ENSG00000026652.15,ENSG00000026652.15:t:161153346-161153499,0.0386,0.0286,5,5,1,chr6,-,ENSG00000026652.15:t:161153346-161153499_161153499-161166248,161153499,161166248,NA,NA,chr6:161153499-161166248,target,2
no_dox,RFC1,ENSG00000035928.16,ENSG00000035928.16:s:39311445-39311549,0.0323,0.0128,3,4,0,chr4,-,ENSG00000035928.16:s:39311445-39311549_39304928-39311445,39304928,39311445,NA,NA,chr4:39304928-39311445,source,5
no_dox,TRIO,ENSG00000038382.20,ENSG00000038382.20:s:14487464-14488260,0.0384,0.0117,3,3,1,chr5,+,ENSG00000038382.20:s:14487464-14488260_14488260-14489030,14488260,14489030,NA,NA,chr5:14488260-14489030,source,2
no_dox,TRIO,ENSG00000038382.20,ENSG00000038382.20:t:14492370-14492814,0.0325,0.0116,8,5,1,chr5,+,ENSG00000038382.20:t:14492370-14492814_14489097-14492567,14489097,14492567,14489818,14492369,chr5:14489097-14492567,target,2
no_dox,CLEC16A,ENSG00000038532.16,ENSG00000038532.16:t:10972938-10973061,0.0447,0.0166,2,3,0,chr16,+,ENSG00000038532.16:t:10972938-10973061_10972559-10972938,10972559,10972938,NA,NA,chr16:10972559-10972938,target,5
no_dox,WDR37,ENSG00000047056.16,ENSG00000047056.16:s:1093452-1093496,0.0042,0.0046,3,3,1,chr10,+,ENSG00000047056.16:s:1093452-1093496_1093497-1095667,1093497,1095667,1093497,1095667,chr10:1093497-1095667,source,4
no_dox,WDR37,ENSG00000047056.16,ENSG00000047056.16:t:1096170-1096267,0.0042,0.0046,3,3,1,chr10,+,ENSG00000047056.16:t:1096170-1096267_1095830-1096169,1095830,1096169,1095830,1096169,chr10:1095830-1096169,target,4
no_dox,RSF1,ENSG00000048649.14,ENSG00000048649.14:s:77820528-77820869,6e-04,1e-04,6,3,1,chr11,-,ENSG00000048649.14:s:77820528-77820869_77813787-77820528,77813787,77820528,77813788,77820527,chr11:77813787-77820528,source,4
no_dox,MCUR1,ENSG00000050393.11,ENSG00000050393.11:t:13806925-13807044,0.0487,0.0165,4,3,1,chr6,-,ENSG00000050393.11:t:13806925-13807044_13807044-13810499,13807044,13810499,NA,NA,chr6:13807044-13810499,target,5
no_dox,USP36,ENSG00000055483.19,ENSG00000055483.19:s:78798400-78798551,0.001,3e-04,4,4,0,chr17,-,ENSG00000055483.19:s:78798400-78798551_78787658-78798400,78787658,78798400,NA,NA,chr17:78787658-78798400,source,5
no_dox,USP13,ENSG00000058056.10,ENSG00000058056.10:t:179681878-179682003,0.0015,9e-04,4,5,0,chr3,+,ENSG00000058056.10:t:179681878-179682003_179653750-179681878,179653750,179681878,NA,NA,chr3:179653750-179681878,target,5
no_dox,USP13,ENSG00000058056.10,ENSG00000058056.10:t:179706934-179707076,0.0171,0.0103,5,5,0,chr3,+,ENSG00000058056.10:t:179706934-179707076_179701179-179706934,179701179,179706934,NA,NA,chr3:179701179-179706934,target,2
no_dox,TBXAS1,ENSG00000059377.18,ENSG00000059377.18:s:139787338-139787426,0.0496,0.0335,7,8,1,chr7,+,ENSG00000059377.18:s:139787338-139787426_139787426-139788213,139787426,139788213,NA,NA,chr7:139787426-139788213,source,5
no_dox,PTPRU,ENSG00000060656.20,ENSG00000060656.20:t:29255275-29255406,0.009,0.0084,3,3,1,chr1,+,ENSG00000060656.20:t:29255275-29255406_29236789-29255275,29236789,29255275,NA,NA,chr1:29236789-29255275,target,5
no_dox,BICRA,ENSG00000063169.11,ENSG00000063169.11:s:47678962-47681276,0.041,0.0252,4,4,1,chr19,+,ENSG00000063169.11:s:47678962-47681276_47681276-47696451,47681276,47696451,NA,NA,chr19:47681276-47696451,source,5
no_dox,MSANTD3,ENSG00000066697.15,ENSG00000066697.15:s:100427429-100427570,0.017,0.0149,2,3,1,chr9,+,ENSG00000066697.15:s:100427429-100427570_100427570-100429506,100427570,100429506,NA,NA,chr9:100427570-100429506,source,2
no_dox,PFKP,ENSG00000067057.18,ENSG00000067057.18:t:3101365-3101554,0.001,1e-04,3,4,1,chr10,+,ENSG00000067057.18:t:3101365-3101554_3099819-3101365,3099819,3101365,NA,NA,chr10:3099819-3101365,target,2
no_dox,PFKP,ENSG00000067057.18,ENSG00000067057.18:t:3129007-3129983,0.0363,0.0114,4,4,0,chr10,+,ENSG00000067057.18:t:3129007-3129983_3125249-3129819,3125249,3129819,3125250,3129006,chr10:3125249-3129819,target,5
no_dox,ADGRL1,ENSG00000072071.16,ENSG00000072071.16:t:14170488-14170791,0.0035,0.0035,3,4,1,chr19,-,ENSG00000072071.16:t:14170488-14170791_14170791-14176479,14170791,14176479,NA,NA,chr19:14170791-14176479,target,5
no_dox,DERL2,ENSG00000072849.11,ENSG00000072849.11:t:5471254-5474789,0.0168,0.0102,3,3,1,chr17,-,ENSG00000072849.11:t:5471254-5474789_5474789-5477848,5474789,5477848,NA,NA,chr17:5474789-5477848,target,5
no_dox,SPEG,ENSG00000072195.15,ENSG00000072195.15:s:219464433-219464667,0.0397,0.0283,3,3,0,chr2,+,ENSG00000072195.15:s:219464433-219464667_219464608-219467174,219464608,219467174,219464668,219466056,chr2:219464608-219467174,source,2
no_dox,SPEG,ENSG00000072195.15,ENSG00000072195.15:s:219464433-219464667,0.0121,0.0127,3,3,0,chr2,+,ENSG00000072195.15:s:219464433-219464667_219464668-219466056,219464668,219466056,219464668,219466056,chr2:219464668-219466056,source,3
no_dox,SCARB1,ENSG00000073060.17,ENSG00000073060.17:s:124863595-124863968,0.0369,0.0214,2,3,0,chr12,-,ENSG00000073060.17:s:124863595-124863968_124862497-124863595,124862497,124863595,NA,NA,chr12:124862497-124863595,source,3
no_dox,SCARB1,ENSG00000073060.17,ENSG00000073060.17:t:124817550-124817707,0.0345,0.0174,4,5,0,chr12,-,ENSG00000073060.17:t:124817550-124817707_124817707-124862380,124817707,124862380,NA,NA,chr12:124817707-124862380,target,4
no_dox,ADAM11,ENSG00000073670.14,ENSG00000073670.14:s:44772399-44772466,0.0337,0.0389,2,2,0,chr17,+,ENSG00000073670.14:s:44772399-44772466_44772462-44772857,44772462,44772857,NA,NA,chr17:44772462-44772857,source,4
no_dox,ARHGEF10L,ENSG00000074964.17,ENSG00000074964.17:s:17632321-17632466,0.0311,0.0218,3,3,0,chr1,+,ENSG00000074964.17:s:17632321-17632466_17632466-17634548,17632466,17634548,17632467,17634256,chr1:17632466-17634548,source,5
no_dox,KCNQ2,ENSG00000075043.20,ENSG00000075043.20:s:63444659-63444834,3e-04,0,3,4,1,chr20,-,ENSG00000075043.20:s:63444659-63444834_63439708-63444659,63439708,63444659,NA,NA,chr20:63439708-63444659,source,1
no_dox,KCNQ2,ENSG00000075043.20,ENSG00000075043.20:t:63439598-63439790,1e-04,0,5,4,1,chr20,-,ENSG00000075043.20:t:63439598-63439790_63439708-63444659,63439708,63444659,63439791,63442405,chr20:63439708-63444659,target,2
no_dox,FRYL,ENSG00000075539.15,ENSG00000075539.15:s:48780078-48780322,0.0247,0.0226,4,5,0,chr4,-,ENSG00000075539.15:s:48780078-48780322_48684795-48780078,48684795,48780078,NA,NA,chr4:48684795-48780078,source,4
no_dox,TPD52,ENSG00000076554.16,ENSG00000076554.16:s:80051478-80051859,0.0284,0.0122,3,4,0,chr8,-,ENSG00000076554.16:s:80051478-80051859_80050471-80051527,80050471,80051527,NA,NA,chr8:80050471-80051527,source,5
no_dox,PAG1,ENSG00000076641.4,ENSG00000076641.4:t:81029791-81030089,0.0379,0.0316,2,3,1,chr8,-,ENSG00000076641.4:t:81029791-81030089_81030089-81111591,81030089,81111591,NA,NA,chr8:81030089-81111591,target,1
no_dox,ACTL6B,ENSG00000077080.10,ENSG00000077080.10:s:100655019-100655119,3e-04,0,4,3,1,chr7,-,ENSG00000077080.10:s:100655019-100655119_100650643-100655019,100650643,100655019,100650664,100655018,chr7:100650643-100655019,source,2
no_dox,ACTL6B,ENSG00000077080.10,ENSG00000077080.10:t:100649961-100650135,0.0015,0,4,4,1,chr7,-,ENSG00000077080.10:t:100649961-100650135_100650135-100650575,100650135,100650575,100650136,100650574,chr7:100650135-100650575,target,2
no_dox,MOK,ENSG00000080823.23,ENSG00000080823.23:t:102233464-102234153,0.0026,0.0056,9,9,0,chr14,-,ENSG00000080823.23:t:102233464-102234153_102233789-102235365,102233789,102235365,NA,NA,chr14:102233789-102235365,target,2
no_dox,RIMS1,ENSG00000079841.18,ENSG00000079841.18:s:72313506-72313672,0.0353,0.0278,4,3,1,chr6,+,ENSG00000079841.18:s:72313506-72313672_72313672-72320108,72313672,72320108,NA,NA,chr6:72313672-72320108,source,5
no_dox,PCDHB4,ENSG00000081818.4,ENSG00000081818.4:s:141121818-141122030,0.0242,0.0188,2,2,0,chr5,+,ENSG00000081818.4:s:141121818-141122030_141122030-141123155,141122030,141123155,141122031,141123154,chr5:141122030-141123155,source,5
no_dox,COBLL1,ENSG00000082438.18,ENSG00000082438.18:s:164841156-164841418,0.0246,0.0291,6,7,0,chr2,-,ENSG00000082438.18:s:164841156-164841418_164779785-164841156,164779785,164841156,NA,NA,chr2:164779785-164841156,source,4
no_dox,ZNF264,ENSG00000083844.10,ENSG00000083844.10:s:57193875-57194169,0.0403,0.024,3,4,0,chr19,+,ENSG00000083844.10:s:57193875-57194169_57194001-57194769,57194001,57194769,NA,NA,chr19:57194001-57194769,source,5
no_dox,SNX10,ENSG00000086300.16,ENSG00000086300.16:s:26346420-26346466,0.0171,0.0148,3,4,0,chr7,+,ENSG00000086300.16:s:26346420-26346466_26346466-26357007,26346466,26357007,NA,NA,chr7:26346466-26357007,source,5
