seqnames,start,end,width,strand,gene_name,gene_id,lsv_id,mean_dpsi_per_lsv_junction,probability_changing,probability_non_changing,control_mean_psi,tdp43kd002_mean_psi,lsv_type,num_junctions,num_exons,de_novo_junctions,lsv_junc,ir_start,ir_end,paste_into_igv_junction,junc_dist,strand_start,transcript_id_start,exon_name_start,exon_rank_start,gene_id_start,strand_end,transcript_id_end,exon_name_end,exon_rank_end,gene_id_end,gene_id_junc,junc_in_ref,junc_cat
chr6,41090309,41091528,1220,+,NFYA,ENSG00000001167.15,ENSG00000001167.15:s:41090204-41090309,-0.1013,0.5186,0.0663,0.9569,0.857,"s|1e1.1o2|1e1.2o2",2,2,0,ENSG00000001167.15:s:41090204-41090309_41090309-41091528,,,chr6:41090309-41091528,1219,+,ENST00000341376.11|ENST00000353205.5,ENSE00000849862.1,6|5,ENSG00000001167.15,+,ENST00000341376.11|ENST00000353205.5,ENSE00000750577.1,7|6,ENSG00000001167.15,ENSG00000001167.15,TRUE,annotated
chr6,41090309,41091546,1238,+,NFYA,ENSG00000001167.15,ENSG00000001167.15:s:41090204-41090309,0.1013,0.5186,0.0663,0.0431,0.143,"s|1e1.1o2|1e1.2o2",2,2,1,ENSG00000001167.15:s:41090204-41090309_41090309-41091546,,,chr6:41090309-41091546,1237,+,ENST00000341376.11|ENST00000353205.5,ENSE00000849862.1,6|5,ENSG00000001167.15,,,,,,ENSG00000001167.15,FALSE,novel_acceptor
chr3,50174350,50175096,747,+,SEMA3F,ENSG00000001617.12,ENSG00000001617.12:s:50174213-50174350,0.2027,0.9678,0.0006433,0.7657,0.9804,"s|1e1.1o1|1e2.1o1",2,3,0,ENSG00000001617.12:s:50174213-50174350_50174350-50175096,,,chr3:50174350-50175096,746,+,ENST00000414301.5|ENST00000450338.5|ENST00000413852.5|ENST00000002829.8|ENST00000434342.5|ENST00000420831.1,ENSE00000768696.1|ENSE00001653126.1,5|3,ENSG00000001617.12,+,ENST00000002829.8,ENSE00000768697.1,6,ENSG00000001617.12,ENSG00000001617.12,TRUE,annotated
chr3,50174350,50176768,2419,+,SEMA3F,ENSG00000001617.12,ENSG00000001617.12:s:50174213-50174350,-0.2027,0.9678,0.0006433,0.2343,0.0196,"s|1e1.1o1|1e2.1o1",2,3,0,ENSG00000001617.12:s:50174213-50174350_50174350-50176768,,,chr3:50174350-50176768,2418,+,ENST00000414301.5|ENST00000450338.5|ENST00000413852.5|ENST00000002829.8|ENST00000434342.5|ENST00000420831.1,ENSE00000768696.1|ENSE00001653126.1,5|3,ENSG00000001617.12,+,ENST00000414301.5|ENST00000450338.5|ENST00000413852.5|ENST00000002829.8|ENST00000434342.5|ENST00000420831.1,ENSE00003786809.1,6|7|4,ENSG00000001617.12,ENSG00000001617.12,TRUE,annotated
chr3,50174350,50176768,2419,+,SEMA3F,ENSG00000001617.12,ENSG00000001617.12:t:50176768-50176861,-0.3561,0.9917,0.0001472,0.4106,0.043,"t|1e1.1o1|1e2.1o1",2,3,0,ENSG00000001617.12:t:50176768-50176861_50174350-50176768,,,chr3:50174350-50176768,2418,+,ENST00000414301.5|ENST00000450338.5|ENST00000413852.5|ENST00000002829.8|ENST00000434342.5|ENST00000420831.1,ENSE00000768696.1|ENSE00001653126.1,5|3,ENSG00000001617.12,+,ENST00000414301.5|ENST00000450338.5|ENST00000413852.5|ENST00000002829.8|ENST00000434342.5|ENST00000420831.1,ENSE00003786809.1,6|7|4,ENSG00000001617.12,ENSG00000001617.12,TRUE,annotated
chr3,50175188,50176768,1581,+,SEMA3F,ENSG00000001617.12,ENSG00000001617.12:t:50176768-50176861,0.3561,0.9917,0.0001472,0.5894,0.957,"t|1e1.1o1|1e2.1o1",2,3,0,ENSG00000001617.12:t:50176768-50176861_50175188-50176768,,,chr3:50175188-50176768,1580,+,ENST00000002829.8,ENSE00000768697.1,6,ENSG00000001617.12,+,ENST00000414301.5|ENST00000450338.5|ENST00000413852.5|ENST00000002829.8|ENST00000434342.5|ENST00000420831.1,ENSE00003786809.1,6|7|4,ENSG00000001617.12,ENSG00000001617.12,TRUE,annotated
chr19,2334721,2337115,2395,+,SPPL2B,ENSG00000005206.17,ENSG00000005206.17:s:2334602-2334721,0.0428,0.1067,0.3369,0.0025,0.0793,"s|1e1.1o1|1e2.1o1|i",3,3,0,ENSG00000005206.17:s:2334602-2334721_2334721-2337115,2334722,2337110,chr19:2334721-2337115,2394,+,ENST00000621615.1|ENST00000586332.5|ENST00000621568.4|ENST00000614794.4|ENST00000613503.5|ENST00000610743.4|ENST00000618220.4|ENST00000587851.1,ENSE00003731065.1|ENSE00003660174.1|ENSE00003718097.1|ENSE00002839010.1,2|3|1,ENSG00000273734.1|ENSG00000005206.17,+,ENST00000586332.5,ENSE00002897096.1,3,ENSG00000005206.17,ENSG00000273734.1|ENSG00000005206.17,TRUE,annotated
chr19,2334721,2337443,2723,+,SPPL2B,ENSG00000005206.17,ENSG00000005206.17:s:2334602-2334721,-0.162,0.7828,0.01427,0.8804,0.7062,"s|1e1.1o1|1e2.1o1|i",3,3,0,ENSG00000005206.17:s:2334602-2334721_2334721-2337443,,,chr19:2334721-2337443,2722,+,ENST00000621615.1|ENST00000586332.5|ENST00000621568.4|ENST00000614794.4|ENST00000613503.5|ENST00000610743.4|ENST00000618220.4|ENST00000587851.1,ENSE00003731065.1|ENSE00003660174.1|ENSE00003718097.1|ENSE00002839010.1,2|3|1,ENSG00000273734.1|ENSG00000005206.17,+,ENST00000621615.1|ENST00000586332.5|ENST00000621568.4|ENST00000614794.4|ENST00000613503.5|ENST00000610743.4|ENST00000618220.4|ENST00000587851.1|ENST00000593243.5,ENSE00003731179.1|ENSE00002805538.1|ENSE00003733094.1|ENSE00002961806.1|ENSE00003668524.1,3|4|2,ENSG00000273734.1|ENSG00000005206.17,ENSG00000273734.1|ENSG00000005206.17,TRUE,annotated
chr19,2334722,2337110,2389,+,SPPL2B,ENSG00000005206.17,ENSG00000005206.17:s:2334602-2334721,0.0794,0.3982,0.102,0.1171,0.2177,"s|1e1.1o1|1e2.1o1|i",3,3,1,ENSG00000005206.17:s:2334602-2334721_2334722-2337110,,,chr19:2334722-2337110,2388,,,,,,,,,,,,FALSE,none
chrX,11765729,11766961,1233,+,MSL3,ENSG00000005302.19,ENSG00000005302.19:s:11765193-11766267,0,1.504e-10,1,7e-04,7e-04,"s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o3|1e4.2o3|1e5.1o1|i",7,6,0,ENSG00000005302.19:s:11765193-11766267_11765729-11766961,11766268,11766960,chrX:11765729-11766961,1232,+,ENST00000361672.6|ENST00000650370.1|ENST00000647869.1|ENST00000649988.1|ENST00000312196.10|ENST00000647857.1|ENST00000468149.5|ENST00000649130.1|ENST00000398527.7|ENST00000649078.1|ENST00000649602.1|ENST00000649308.1|ENST00000650215.1|ENST00000649785.1|ENST00000649685.1|ENST00000649684.1|ENST00000649649.1|ENST00000380693.8|ENST00000650628.1|ENST00000649797.1|ENST00000482871.6|ENST00000648013.1|ENST00000649271.1|ENST00000647985.1|ENST00000650050.1|ENST00000380691.3|ENST00000648545.1|ENST00000648656.1|ENST00000650106.1|ENST00000467141.2|ENST00000648692.1|ENST00000647839.1|ENST00000648287.1|ENST00000647599.1|ENST00000649420.1,ENSE00003554346.1|ENSE00003651680.1|ENSE00001485910.2|ENSE00003837564.1|ENSE00001847902.1|ENSE00003834204.1|ENSE00001882445.2,8|9|6|7|3|1,ENSG00000005302.19,+,ENST00000649308.1|ENST00000649797.1|ENST00000648545.1|ENST00000650106.1|ENST00000648692.1|ENST00000647839.1|ENST00000649420.1,ENSE00001925948.2|ENSE00003836681.1|ENSE00003835418.1|ENSE00003838534.1|ENSE00003834747.1,9|2,ENSG00000005302.19,ENSG00000005302.19,TRUE,annotated
