gene_name,gene_id,lsv_id,mean_dpsi_per_lsv_junction,probability_changing,probability_non_changing,noDox_mean_psi,dox0025_mean_psi,lsv_type,num_junctions,num_exons,de_novo_junctions,seqid,strand,junctions_coords,exons_coords,ir_coords,ucsc_lsv_link
LAS1L,ENSG00000001497.18,ENSG00000001497.18:s:65524764-65525050,-0.1213;0.1213,6.519e-01;6.519e-01,3.771e-02;3.771e-02,0.5405;0.4595,0.4127;0.5873,s|1e1.1o1|1e2.1o1,2,3,0;0,chrX,-,65524614-65524965;65524262-65524965,65524056-65524262;65524564-65524614;65524764-65525050,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A65525050-65524056
AK2,ENSG00000004455.17,ENSG00000004455.17:s:33013044-33013402,0.0000;0.0000;-0.0019;0.1684;-0.1325,6.594e-21;6.594e-21;9.106e-10;9.346e-01;7.610e-01,1.000e+00;1.000e+00;9.206e-01;1.344e-03;1.140e-02,0.0002;0.0063;0.0389;0.6518;0.3039,0.0002;0.0002;0.0098;0.8231;0.1677,s|1e1.1o3|1e1.2o3|1e1.3o3|1e2.1o1|i,5,3,1;1;0;0;0,chr1,-,33012341-33013207;33012142-33013207;33012122-33013207;33010833-33013207;33012358-33013043,33007940-33010833;33012074-33012357;33013044-33013402,33012358-33013043,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A33013402-33007940
AK2,ENSG00000004455.17,ENSG00000004455.17:t:33007940-33010833,0.1376;-0.0045;0.0000;-0.1243,8.010e-01;1.029e-08;6.594e-21;7.103e-01,9.761e-03;8.351e-01;1.000e+00;2.658e-02,0.6868;0.0432;0.0003;0.2697,0.8257;0.0290;0.0003;0.1414,t|1e1.1o1|1e2.1o1|1e3.1o1|i,4,4,0;0;0;0,chr1,-,33010833-33013207;33010833-33012074;33010833-33011448;33010834-33011447,33007940-33010833;33011448-33011710;33012074-33012357;33013044-33013402,33010834-33011447,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A33013402-33007940
GCFC2,ENSG00000005436.14,ENSG00000005436.14:t:75662705-75664783,0.0020;0.2540;-0.2713,5.866e-04;9.319e-01;9.563e-01,8.668e-01;2.254e-03;1.222e-03,0.0148;0.4338;0.5462,0.0318;0.7110;0.2582,t|1e1.1o1|1e2.1o1|i,3,3,0;0;1,chr2,-,75664783-75670138;75664783-75665929;75664784-75665928,75662705-75664783;75665929-75666053;75670138-75670284,75664784-75665928,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A75670284-75662705
ZNF195,ENSG00000005801.18,ENSG00000005801.18:t:3360720-3360788,0.0269;-0.1016;0.0610,1.002e-01;4.430e-01;3.152e-01,3.623e-01;5.794e-02;1.166e-01,0.0361;0.6022;0.3663,0.0945;0.4525;0.4714,t|1e1.1o2|1e2.2o2|i,3,3,0;0;1,chr11,-,3360788-3370975;3360788-3361743;3360789-3361742,3360720-3360788;3361743-3361889;3370943-3371147,3360789-3361742,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A3371147-3360720
ZNF195,ENSG00000005801.18,ENSG00000005801.18:t:3361743-3361889,-0.1566;-0.0000;-0.0005;0.1030;0.0317;-0.0081,7.658e-01;6.893e-21;1.464e-05;5.193e-01;4.016e-02;2.851e-02,1.805e-02;1.000e+00;9.611e-01;6.694e-02;4.630e-01;5.562e-01,0.6895;0.0009;0.0187;0.2000;0.0009;0.0826,0.5047;0.0009;0.0165;0.3287;0.0671;0.0688,t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o2|1e3.2o2|1e4.1o1,6,5,0;0;1;0;0;0,chr11,-,3361889-3370975;3361889-3370943;3361889-3369357;3361889-3362546;3361889-3362533;3361889-3361976,3361743-3361889;3361976-3362073;3362533-3362831;3369241-3369502;3370943-3371147,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A3371147-3361743
ZNF195,ENSG00000005801.18,ENSG00000005801.18:t:3362533-3362831,-0.4285;-0.0771;0.5643,9.938e-01;3.465e-01;1.000e+00,8.822e-05;1.325e-01;1.882e-07,0.7113;0.1290;0.1587,0.2748;0.0038;0.7209,t|1e1.1o2|1e2.1o1|1e3.1o1,3,4,0;0;1,chr11,-,3362602-3370975;3362602-3369357;3362602-3363303,3362533-3362831;3363303-3363391;3369241-3369502;3370943-3371147,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A3371147-3362533
ZNF263,ENSG00000006194.10,ENSG00000006194.10:t:3286023-3286884,-0.1099;-0.0000;0.1099,5.511e-01;2.392e-08;5.510e-01,5.764e-02;9.999e-01;5.763e-02,0.2646;0.0026;0.7330,0.1298;0.0023;0.8677,t|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;1;0,chr16,+,3284205-3286023;3285239-3286023;3285754-3286023,3283485-3284205;3285059-3285239;3285681-3285754;3286023-3286884,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A3286884-3283485
ZNF263,ENSG00000006194.10,ENSG00000006194.10:t:3288454-3288570,-0.1864;0.1864,8.358e-01;8.358e-01,9.339e-03;9.339e-03,0.4244;0.5756,0.2169;0.7831,t|1e1.1o1|1e2.1o1,2,3,0;0,chr16,+,3284205-3288454;3286149-3288454,3283485-3284205;3286023-3286884;3288454-3288570,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A3288570-3283485
SPATA20,ENSG00000006282.21,ENSG00000006282.21:s:50547068-50547369,-0.1861;0.1587;0.0164;-0.0000,8.060e-01;7.459e-01;8.174e-02;1.604e-07,1.123e-02;1.898e-02;4.036e-01;9.996e-01,0.6508;0.2096;0.1407;0.0024,0.4400;0.3876;0.1701;0.0022,s|1e1.1o2|1e1.2o2|1e2.2o3|2e2.1o3,4,3,0;0;0;0,chr17,+,50547285-50547665;50547285-50547720;50547285-50548283;50547369-50548267,50547068-50547369;50547665-50547954;50548267-50548453,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A50548453-50547068
