# {
#     "changing_threshold": 0.1,
#     "command": "/SAN/vyplab/alb_projects/pipelines/splicing/env/bin/voila tsv /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/builder/splicegraph.sql /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/delta_psi/noDox-dox00125.deltapsi.voila -f /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/delta_psi_voila_tsv/noDox-dox00125.psi.tsv --threshold 0.1",
#     "group_sizes": {
#         "dox00125": 3,
#         "noDox": 3
#     },
#     "non_changing_threshold": 0.05,
#     "voila_version": "2.3"
# }
gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	noDox_mean_psi	dox00125_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
LAS1L	ENSG00000001497.18	ENSG00000001497.18:s:65524764-65525050	-0.1346;0.1346	7.103e-01;7.103e-01	2.702e-02;2.702e-02	0.5405;0.4595	0.3991;0.6009	s|1e1.1o1|1e2.1o1	2	3	0;0	chrX	-	65524614-65524965;65524262-65524965	65524056-65524262;65524564-65524614;65524764-65525050		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A65525050-65524056
RAD52	ENSG00000002016.18	ENSG00000002016.18:t:913892-914198	0.0858;-0.1210;0.0301	3.990e-01;5.124e-01;1.466e-01	8.741e-02;4.423e-02;2.606e-01	0.0722;0.8308;0.0711	0.2110;0.6618;0.1327	t|1e1.1o1|1e2.1o2|1e2.2o2	3	3	1;0;0	chr12	-	914121-916344;914121-914431;914121-914411	913892-914198;914411-914532;916206-916582		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A916582-913892
KLHL13	ENSG00000003096.14	ENSG00000003096.14:t:118028424-118028497	0.0000;0.1891;-0.1901	8.586e-07;8.061e-01;8.099e-01	9.989e-01;1.010e-02;9.813e-03	0.0032;0.6451;0.3516	0.0038;0.8542;0.1418	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;1	chrX	-	118028497-118117277;118028497-118116508;118028497-118028936	118028424-118028497;118028936-118029098;118116508-118116865;118117277-118117340		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A118117340-118028424
DBNDD1	ENSG00000003249.15	ENSG00000003249.15:t:90009284-90009430	0.1111;-0.1102;-0.0001;0.0000;0.0000;0.0000	5.792e-01;5.678e-01;3.120e-10;6.697e-21;6.697e-21;6.697e-21	5.038e-02;5.149e-02;9.975e-01;9.999e-01;1.000e+00;1.000e+00	0.3008;0.6742;0.0177;0.0004;0.0004;0.0004	0.4217;0.5603;0.0049;0.0134;0.0004;0.0004	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1	6	7	0;0;1;1;0;0	chr16	-	90009430-90019728;90009430-90019311;90009430-90018325;90009430-90015726;90009430-90011584;90009430-90009957	90009284-90009430;90009957-90010211;90011584-90011696;90015726-90015885;90018325-na;90019311-90019456;90019728-90019890		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A90019890-90009284
MTMR7	ENSG00000003987.14	ENSG00000003987.14:s:17341363-17341497	-0.0000;0.1232;-0.1228	2.853e-05;5.425e-01;5.418e-01	9.932e-01;4.187e-02;4.214e-02	0.0054;0.6534;0.3415	0.0047;0.8237;0.1715	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;1	chr8	-	17338991-17341363;17331282-17341363;17313401-17341363	17313292-17313401;17331150-17331282;17338730-17338991;17341363-17341497		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A17341497-17313292
PLXND1	ENSG00000004399.13	ENSG00000004399.13:t:129569189-129569957	-0.0286;0.1318;-0.0818;0.0085	9.017e-02;5.997e-01;3.753e-01;7.340e-02	3.792e-01;3.464e-02;1.196e-01;4.158e-01	0.0718;0.7136;0.1260;0.0797	0.0042;0.9009;0.0042;0.0904	t|1e1.1o2|1e1.2o2|1e2.1o1|i	4	3	1;0;1;1	chr3	-	129569957-129570879;129569957-129570786;129569957-129570590;129569958-129570589	129569189-129569957;129570590-129570671;129570684-129570935	129569958-129570589	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A129570935-129569189
VPS50	ENSG00000004766.17	ENSG00000004766.17:s:93311166-93311272	-0.1025;0.1038;-0.0000	4.798e-01;4.847e-01;3.804e-06	6.087e-02;5.946e-02;9.980e-01	0.3694;0.6263;0.0044	0.2165;0.7806;0.0029	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr7	+	93311272-93320376;93311272-93323611;93311272-93340598	93311166-93311272;93320376-93321170;93323250-93323732;93340598-93340870		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A93340870-93311166
CDC27	ENSG00000004897.12	ENSG00000004897.12:s:47142229-47142381	-0.1313;0.1312;0.0000	7.228e-01;7.224e-01;6.697e-21	2.125e-02;2.131e-02;1.000e+00	0.5347;0.4649;0.0005	0.3995;0.6000;0.0005	s|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;0;1	chr17	-	47142025-47142229;47142022-47142229;47138891-47142229	47138739-47138891;47141844-47142025;47142229-47142381		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A47142381-47138739
CDC27	ENSG00000004897.12	ENSG00000004897.12:t:47141844-47142025	0.0000;-0.1313;0.1312	6.697e-21;7.228e-01;7.224e-01	1.000e+00;2.125e-02;2.131e-02	0.0005;0.5347;0.4649	0.0005;0.3995;0.6000	t|1e1.1o1|1e2.1o1|2e2.1o1	3	3	0;0;0	chr17	-	47142025-47143883;47142025-47142229;47142022-47142229	47141844-47142025;47142229-47142381;47143883-47144255		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A47144255-47141844
REXO5	ENSG00000005189.20	ENSG00000005189.20:t:20806952-20807091	0.0000;0.1508;-0.1360;-0.0004;-0.0023	5.349e-09;7.089e-01;6.547e-01;1.685e-05;1.015e-02	9.999e-01;2.242e-02;3.086e-02;9.852e-01;6.529e-01	0.0014;0.5730;0.3542;0.0094;0.0536	0.0015;0.7575;0.1964;0.0015;0.0473	t|1e1.1o1|1e2.1o1|1e3.1o2|1e3.2o2|1e4.1o1	5	5	0;0;0;0;0	chr16	+	20806490-20806952;20806705-20806952;20806721-20806952;20806735-20806952;20806817-20806952	20806429-20806490;20806496-20806705;20806708-20806735;20806757-20806817;20806952-20807091		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A20807091-20806429
