#ID	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
ENST00000484859.1	91	0.28096	9.92413330078	1	0.0672188	noncoding
ENST00000490997.5	41	0.39869	6.50494384766	1	0.0151815	noncoding
ENST00000466557.6	131	0.32038	8.64166259766	1	0.319223	noncoding
ENST00000662089.1	94	0.4193	8.89862060547	1	0.300982	noncoding
ENST00000491962.1	32	0.45797	9.05694580078	1	0.0230565	noncoding
ENST00000655252.1	94	0.31028	8.89862060547	1	0.0853205	noncoding
ENST00000506640.2	208	0.27923	9.50408935547	1	0.664545	coding
ENST00000685466.1	51	0.37196	9.83697509766	1	0.0300728	noncoding
ENST00000692781.1	51	0.3581	9.83697509766	1	0.0272224	noncoding
ENST00000655765.1	94	0.28496	8.88092041016	1	0.0724879	noncoding
ENST00000457084.1	49	0.3735	9.48956298828	1	0.0257743	noncoding
ENST00000656571.1	87	0.32934	9.95892333984	1	0.0836776	noncoding
ENST00000669749.1	119	0.37671	9.96917724609	1	0.407587	noncoding
ENST00000666217.1	87	0.34229	9.95892333984	1	0.0953972	noncoding
ENST00000589899.5	49	0.36069	9.48956298828	1	0.0235165	noncoding
ENST00000609830.1	49	0.40562	9.48956298828	1	0.0346564	noncoding
ENST00000443772.2	87	0.31662	9.95892333984	1	0.0746097	noncoding
ENST00000585826.1	22	0.40805	10.5647583008	1	0.0128755	noncoding
ENST00000592547.1	27	0.37139	9.30206298828	1	0.00879747	noncoding
ENST00000585768.5	29	0.44787	11.3242797852	1	0.0330425	noncoding
ENST00000590848.5	87	0.31367	9.95892333984	1	0.0728288	noncoding
ENST00000591702.1	169	0.34753	9.32659912109	1	0.780461	coding
ENST00000667728.1	94	0.30068	8.88092041016	1	0.0791604	noncoding
ENST00000616016.5	845	0.41608	8.70965576172	1	1	coding
ENST00000618323.5	846	0.41608	8.70965576172	1	1	coding
ENST00000437963.5	109	0.40843	9.65240478516	-1	0.130902	noncoding
ENST00000342066.8	682	0.42995	7.33734130859	1	1	coding
ENST00000622503.5	683	0.41928	7.33734130859	1	1	coding
ENST00000341065.8	585	0.43303	6.61871337891	1	1	coding
ENST00000455979.1	530	0.40782	5.88250732422	1	1	coding
ENST00000478729.1	91	0.4022	10.4957885742	-1	0.153166	noncoding
ENST00000474461.1	234	0.39573	10.9083862305	1	0.99185	coding
ENST00000466827.1	157	0.39552	11.5303344727	-1	0.21758	noncoding
ENST00000464948.1	127	0.37707	8.21087646484	-1	0.106577	noncoding
ENST00000379370.7	2046	0.37862	6.01800537109	1	1	coding
ENST00000620552.4	2069	0.37862	6.00518798828	1	1	coding
ENST00000652369.1	1941	0.37862	6.16302490234	1	1	coding
ENST00000479707.1	113	0.37836	4.99749755859	1	0.669209	coding
ENST00000466223.1	126	0.43697	9.17718505859	-1	0.130272	noncoding
ENST00000492947.1	17	0.42585	10.4103393555	1	0.0115119	noncoding
ENST00000461111.1	216	0.30955	8.76275634766	1	0.907671	coding
ENST00000379116.10	803	0.37445	8.87176513672	1	1	coding
ENST00000379101.8	560	0.42382	8.21771240234	-1	0.948664	coding
ENST00000338555.6	639	0.39116	8.06036376953	1	1	coding
ENST00000400928.7	639	0.37953	8.06036376953	1	1	coding
ENST00000470022.1	139	0.42211	10.0846557617	-1	0.184646	noncoding
ENST00000325425.12	705	0.37861	8.63128662109	1	1	coding
ENST00000467651.2	31	0.44098	6.01898193359	-1	0.0160639	noncoding
ENST00000379099.3	280	0.36547	8.96588134766	-1	0.288365	noncoding
ENST00000577672.1	46	0.35795	5.66851806641	-1	0.0259875	noncoding
ENST00000417099.1	111	0.31614	9.19891357422	1	0.158268	noncoding
ENST00000424604.1	47	0.40871	6.54681396484	-1	0.0234209	noncoding
ENST00000418950.2	39	0.42448	6.07147216797	1	0.0182259	noncoding
ENST00000378567.8	593	0.44007	5.48590087891	1	1	coding
ENST00000468310.5	181	0.39871	8.74725341797	-1	0.178155	noncoding
ENST00000484419.1	99	0.3293	7.66900634766	1	0.132355	noncoding
ENST00000466651.5	114	0.33734	9.42901611328	-1	0.154591	noncoding
ENST00000400921.6	410	0.44778	4.64581298828	1	1	coding
ENST00000461465.5	136	0.3269	9.09588623047	-1	0.160611	noncoding
ENST00000378531.8	498	0.41038	6.64483642578	1	1	coding
ENST00000606372.5	464	0.36117	7.32135009766	1	1	coding
ENST00000378529.7	351	0.369	6.05596923828	1	0.999999	coding
ENST00000469374.5	136	0.35025	8.79046630859	1	0.5	coding
ENST00000419785.1	91	0.3932	6.24310302734	1	0.249777	noncoding
